word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,confident,resolved_word,normalized_sentiment,sentiment_strength,open_class,closed_class,pos_count,word_length,log_frequency,frequency_rank,cluster,pc1,pc2
or,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5383,4466,0.3195562697380638,1,or,-0.0021206358387805824,0.0021206358387805824,False,True,1,2,8.591186871324563,31.0,0,4.24153400256231,0.16705397060712185
just,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5188,4581,0.3191545296838859,1,just,-0.0025223758929584505,0.0025223758929584505,True,False,3,4,8.55429627936774,32.0,0,4.732082597733423,-0.6081022345777644
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968,3765,0.3741810789049904,1,as,0.05250417332814605,0.05250417332814605,True,False,1,2,8.51097389160232,34.0,0,4.136189041096589,0.16031053751622332
more,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4746,4192,0.4826936788874827,1,more,0.16101677331063835,0.16101677331063835,True,False,3,4,8.465268118551318,37.0,0,4.474879012631454,-0.6590862023060564
gemini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4608,3703,0.3815187499999991,1,gemini,0.05984184442315471,0.05984184442315471,True,False,1,6,8.435766192720509,38.0,0,3.646599997126336,0.4701935128095493
chat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4387,3547,0.3236788237975834,1,chat,0.0020019182207390296,0.0020019182207390296,True,False,1,4,8.38662882139512,42.0,0,3.9237351099367666,0.3434465265555061
love,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4286,3935,0.7954353476434897,1,love,0.4737584420666453,0.4737584420666453,True,False,2,4,8.363342466597977,43.0,0,3.6347869534509245,-0.32422524197337665
better,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4261,3907,0.578630743956811,1,better,0.25695383837996666,0.25695383837996666,True,False,4,6,8.357493812658563,44.0,0,4.4358734940062625,-1.0049494716559884
time,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4219,3787,0.221697961602275,1,time,-0.09997894397456936,0.09997894397456936,True,False,2,4,8.347590407030058,45.0,0,4.0908177330140525,-0.668624113484382
than,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4054,3800,0.4898945485939778,1,than,0.16821764301713343,0.16821764301713343,False,True,1,4,8.307705966549513,46.0,0,3.659777116277615,0.2757648977928625
even,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4005,3570,0.1516511610486892,1,even,-0.17002574452815516,0.17002574452815516,True,False,4,4,8.295548516225763,47.0,0,4.669259488604392,-1.9808354402013648
has,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3852,3496,0.3861653426791272,1,has,0.06448843710228286,0.06448843710228286,False,True,1,3,8.256607344626158,48.5,0,3.888048267700935,0.2461879163101571
really,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3836,3355,0.5633261991657965,1,really,0.24164929358895215,0.24164929358895215,True,False,1,6,8.252446090246952,50.0,0,3.31117872274645,0.4014945753357541
great,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3751,3465,0.7225095174620061,1,great,0.4008326118851617,0.4008326118851617,True,False,3,5,8.230044310126114,54.0,0,3.9241088370012007,-0.6727714196500676
its,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3602,3053,0.3937023875624648,1,its,0.07202548198562042,0.07202548198562042,True,False,1,3,8.189522110748094,57.0,0,3.8444927210111492,0.24670770777207193
much,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3358,3096,0.5281251935675985,1,much,0.2064482879907541,0.2064482879907541,True,False,3,4,8.119398589612294,58.0,0,4.248273911598635,-0.6599243529118684
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3258,3005,0.3321393799877218,1,from,0.010462474410877443,0.010462474410877443,False,True,1,4,8.089175678837561,59.0,0,3.7709088915230202,0.35594608015164875
don't,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3252,2927,0.1441611008610086,1,don't,-0.17751580471583575,0.17751580471583575,True,False,1,5,8.087332926473351,60.0,0,3.3497291526137634,-0.5393654016919708
will,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3210,2777,0.34177492211838,1,will,0.020098016541535646,0.020098016541535646,True,False,2,4,8.074337694089515,61.0,0,4.115595956729868,-0.11208865882555495
no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3126,2724,0.0647254318618042,1,no,-0.2569514737150402,0.2569514737150402,True,False,2,2,8.047829357457841,62.0,0,3.884551330478446,-1.6709546692544606
copilot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015,2392,0.5912503814262018,1,copilot,0.2695734758493574,0.2695734758493574,True,False,1,7,8.011686729127847,63.0,0,3.047987206854219,0.47971092303679974
work,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,2664,0.3979793856655294,1,work,0.07630248008868501,0.07630248008868501,True,False,2,4,7.983098940710892,65.0,0,3.9959942475138597,-0.13149792237486516
also,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2887,2620,0.4313471770003462,1,also,0.10967027142350183,0.10967027142350183,True,False,1,4,7.968319500012717,67.0,0,3.5779075808197733,0.31959791366457047
am,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2866,2501,0.3974231332868109,1,am,0.07574622770996653,0.07574622770996653,False,True,1,2,7.96102146588337,68.0,0,3.8424931817946053,0.18020644794795299
give,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2859,2586,0.3025084295208107,1,give,-0.019168476056033668,0.019168476056033668,True,False,2,4,7.958576903813898,70.0,0,4.0523777264832415,-0.20254927359501643
get,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2822,2569,0.3206714741318213,1,get,-0.001005431445023075,0.001005431445023075,True,False,2,3,7.945555428253489,71.0,0,4.190183242714762,-0.17909332405714415
answers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2796,2536,0.3600345493562238,1,answers,0.03835764377937945,0.03835764377937945,True,False,2,7,7.936302693201959,72.0,0,3.691227317534285,0.11933493307507881
using,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2774,2614,0.4010219538572457,1,using,0.07934504828040134,0.07934504828040134,True,False,1,5,7.928406026180535,73.0,0,3.4881805265095696,0.4122494665528795
because,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2749,2536,0.2870421244088759,1,because,-0.034634781167968476,0.034634781167968476,False,True,1,7,7.919356190660617,74.0,0,3.3068612112395845,0.4109326832209525
help,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2726,2501,0.6524251650770367,1,help,0.3307482595001924,0.3307482595001924,True,False,1,4,7.910957382845589,75.0,0,3.2478046603968096,0.2271490730825838
helpful,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2703,2586,0.7112720310765835,1,helpful,0.3895951254997392,0.3895951254997392,True,False,1,7,7.902487437162855,76.0,0,2.830427900545836,0.4338860316952417
up,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2595,2408,0.3151385356454724,1,up,-0.006538369931371968,0.006538369931371968,True,False,3,2,7.86172707782398,82.0,0,4.614615636102798,-0.7467631242821205
free,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2576,2282,0.5736873059006197,1,free,0.2520104003237753,0.2520104003237753,True,False,4,4,7.854381210652365,83.0,0,4.422505353177234,-1.1296617750190054
want,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2510,2271,0.3321099601593617,1,want,0.01043305458251731,0.01043305458251731,True,False,1,4,7.828436359157585,85.0,0,3.6437348306262933,0.37045315714538074
information,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2494,2199,0.3465074178027262,1,information,0.02483051222588184,0.02483051222588184,True,False,1,11,7.822044008185619,86.0,0,2.843961616737133,0.9053047284065802
make,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2493,2253,0.4000183313277173,1,make,0.07834142575087294,0.07834142575087294,True,False,2,4,7.821643126239982,87.0,0,3.912652707630972,-0.12323147778330255
out,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2477,2291,0.3305319337908759,1,out,0.008855028214031557,0.008855028214031557,True,False,4,3,7.815207062189088,88.0,0,4.845575120298718,-1.0994352690350047
answer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2471,2106,0.1935443140428977,1,answer,-0.12813259153394665,0.12813259153394665,True,False,2,6,7.812782818577581,89.0,0,3.559460738707609,-0.6396624367141588
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2397,1924,0.1596122236128493,1,they,-0.16206468196399507,0.16206468196399507,False,True,1,4,7.7823903355874595,90.0,0,3.340200851895334,-0.5146139045398136
perplexity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2392,2030,0.4051121237458193,1,perplexity,0.08343521816897492,0.08343521816897492,True,False,1,10,7.780303087908373,91.0,0,2.8544266342468063,0.8050343079409864
used,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2340,2204,0.4215300854700853,1,used,0.09985317989324094,0.09985317989324094,True,False,2,4,7.75833346749091,92.0,0,3.8528320090024377,-0.1290632733074192
google,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,1844,0.3237989690721646,1,google,0.0021220634953202366,0.0021220634953202366,True,False,2,6,7.710653323501202,94.0,0,3.741677854957042,0.07030482298794087
need,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2165,2028,0.4239893764434184,1,need,0.10231247086657402,0.10231247086657402,True,False,2,4,7.680637427560936,96.0,0,3.812706613829749,-0.12591926342353346
things,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,1998,0.4646816118573412,1,things,0.14300470628049683,0.14300470628049683,True,False,1,6,7.67786350067821,97.0,0,3.168455695648039,0.4758351638570755
pro,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2130,1814,0.2041774647887325,1,pro,-0.11749944078811186,0.11749944078811186,True,False,3,3,7.664346632098617,98.0,0,4.2063479338688285,-1.2694871937446457
ask,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2094,1920,0.295564660936008,1,ask,-0.02611224464083639,0.02611224464083639,True,False,2,3,7.647308832356238,100.0,0,3.9991664076821225,-0.3007471147042761
every,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2077,1959,0.3744797785267214,1,every,0.05280287294987701,0.05280287294987701,True,False,1,5,7.639161171659173,102.0,0,3.3831993411732038,0.4398231746441726
there,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2070,1908,0.2887937198067631,1,there,-0.03288318577008126,0.03288318577008126,True,False,2,5,7.635786861395585,103.0,0,3.7586764935982035,-0.18283472845108462
please,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2063,1817,0.3863762481822588,1,please,0.06469934260541443,0.06469934260541443,True,False,2,6,7.6324011266014535,104.0,0,3.6175131483443432,0.047629826770732714
questions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2041,1893,0.4300147966683002,1,questions,0.10833789109145586,0.10833789109145586,True,False,2,9,7.621684998724611,106.0,0,3.219540904638842,0.26109820518830223
gives,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,1862,0.357151844365842,1,gives,0.035474938788997656,0.035474938788997656,True,False,1,5,7.590852123688581,109.0,0,3.3825936202364857,0.450074240747329
too,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1964,1795,0.2542348778004078,1,too,-0.06744202777643654,0.06744202777643654,True,False,1,3,7.583247524303362,110.0,0,3.526320936942025,-0.0598935564632629
ever,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1934,1855,0.4302889348500501,1,ever,0.10861202927320573,0.10861202927320573,True,False,1,4,7.5678626054638825,111.0,0,3.3827358753290664,0.3424370602199813
way,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1904,1776,0.4254403361344533,1,way,0.10376343055760895,0.10376343055760895,True,False,2,3,7.552237287560802,112.0,0,3.858101530211336,-0.19656096117988828
amazing,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1902,1787,0.7686182439537339,1,amazing,0.44694133837688954,0.44694133837688954,True,False,2,7,7.551186867296149,113.0,0,2.9454661593532445,-0.03605622064965994
helps,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,1741,0.7469318230277199,1,helps,0.4252549174508755,0.4252549174508755,True,False,1,5,7.537430036586509,114.0,0,2.8251888810260635,0.28429838164305976
we,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1871,1512,0.3804841795831102,1,we,0.05880727400626584,0.05880727400626584,False,True,1,2,7.534762657037537,115.0,0,3.656255670905568,0.21136726126981026
everything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1862,1767,0.4677714285714278,1,everything,0.14609452299458342,0.14609452299458342,False,True,1,10,7.529943370601589,116.0,0,2.646834207072558,0.7918274448524004
useful,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1849,1770,0.6697357490535428,1,useful,0.34805884347669847,0.34805884347669847,True,False,1,6,7.52294091807237,117.0,0,2.81191244705177,0.3958133252286772
image,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1809,1426,0.2103002211166388,1,image,-0.11137668446020557,0.11137668446020557,True,False,2,5,7.501082124259871,120.0,0,3.548912781774074,-0.6073429001194974
lot,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1791,1666,0.4907081518704624,1,lot,0.16903124629361804,0.16903124629361804,True,False,3,3,7.491087593534876,123.0,0,4.103014644733242,-0.6859753629670045
voice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1768,1427,0.3031570701357461,1,voice,-0.018519835441098254,0.018519835441098254,True,False,2,5,7.478169694159785,124.0,0,3.7063348381571894,-0.09484791692559948
far,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1761,1676,0.5828617830777952,1,far,0.2611848775009509,0.2611848775009509,True,False,3,3,7.474204806496124,125.0,0,3.969036272671089,-0.7249208788638836
always,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1725,1593,0.2931854492753624,1,always,-0.028491456301481977,0.028491456301481977,True,False,1,6,7.453561871643373,127.0,0,3.199792504466072,0.3935921436542121
know,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,1592,0.3544892504357925,1,know,0.03281234485894813,0.03281234485894813,True,False,2,4,7.451241684987676,128.0,0,3.7927789542739907,-0.0828117379825026
well,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1693,1621,0.560815121086827,1,well,0.2391382155099826,0.2391382155099826,True,False,4,4,7.434847875211999,130.0,0,4.233801227991595,-1.1006155695076845
wrong,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1692,1468,-0.3122265957446812,1,wrong,-0.6339035013215255,0.6339035013215255,True,False,4,5,7.4342573821331355,131.0,0,3.293757637998492,-4.409382924102823
nice,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1679,1493,0.7034486003573549,1,nice,0.38177169478051054,0.38177169478051054,True,False,2,4,7.426549072397305,132.0,0,3.304482513386519,-0.23245842911643336
new,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1615,1470,0.3620628482972132,1,new,0.04038594272036883,0.04038594272036883,True,False,2,3,7.38770923908104,133.0,0,3.862847840926609,-0.15984342753643244
still,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1601,1507,0.2316886321049343,1,still,-0.08998827347191007,0.08998827347191007,True,False,4,5,7.379008127628304,134.5,0,4.258046037429741,-1.4121538847706696
most,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1601,1515,0.4060770768269835,1,most,0.08440017125013916,0.08440017125013916,True,False,2,4,7.379008127628304,134.5,0,3.687412704688386,-0.10114942381341234
thank,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,1484,0.7501752837326616,1,thank,0.42849837815581726,0.42849837815581726,True,False,2,5,7.369600720526409,136.0,0,3.102509584691814,-0.17232471788321665
say,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1555,1440,0.3005011575562706,1,say,-0.02117574802057376,0.02117574802057376,True,False,3,3,7.349873704738337,138.0,0,4.225733813475878,-0.7214956738861585
easy,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1540,1492,0.75849201298701,1,easy,0.4368151074101656,0.4368151074101656,True,False,2,4,7.340186835320115,139.0,0,3.187786809030946,-0.2515334183712806
phone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,1268,0.0838733070348457,1,phone,-0.23780359854199867,0.23780359854199867,True,False,1,5,7.3277805384216315,141.0,0,2.867748955735974,-0.8288676078154484
think,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,1403,0.479731275167785,1,think,0.15805436959094066,0.15805436959094066,True,False,2,5,7.307202314764738,142.0,0,3.440865414365044,-0.05178724572337763
version,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,1246,0.3248683288409702,1,version,0.003191423264125859,0.003191423264125859,True,False,1,7,7.3031700512368,143.0,0,3.062665171365448,0.6346893573213458
bad,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1442,1280,-0.3571775312066584,1,bad,-0.6788544367835028,0.6788544367835028,True,False,3,3,7.274479558773871,145.0,0,2.9912724943736353,-4.337797052081068
question,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1437,1278,0.2120380654140574,1,question,-0.10963884016278697,0.10963884016278697,True,False,2,8,7.271008538280992,146.0,0,3.105935655708626,-0.35316004510365373
experience,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,1371,0.347454743499649,1,experience,0.025777837922804636,0.025777837922804636,True,False,2,10,7.261225091971921,147.0,0,3.043718750164213,0.39427069679637106
tool,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,1311,0.5735928267045446,1,tool,0.2519159211277002,0.2519159211277002,True,False,2,4,7.25063551189868,148.0,0,3.396171468529248,-0.16651030573259337
thing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,1340,0.3042352564102571,1,thing,-0.017441649166587248,0.017441649166587248,True,False,1,5,7.247792581767846,149.0,0,3.2300621283157605,0.38865738208263995
life,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,1290,0.5934251608291623,1,life,0.27174825525231794,0.27174825525231794,True,False,1,4,7.24422751560335,150.0,0,3.0003710007887654,0.2900042720894952
makes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,1355,0.4017700573065908,1,makes,0.08009315172974646,0.08009315172974646,True,False,2,5,7.242082359256962,151.0,0,3.514629105852974,-0.014343958069963355
try,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1379,1288,0.2858576504713563,1,try,-0.03581925510548806,0.03581925510548806,True,False,2,3,7.22983877815125,152.0,0,3.774661936875824,-0.3306710151070286
sometimes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1366,1253,0.2564346998535868,1,sometimes,-0.06524220572325756,0.06524220572325756,True,False,1,9,7.220373836723949,153.0,0,2.685290461438641,0.43606184088591704
day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,1076,0.41353491704374,1,day,0.09185801146689565,0.09185801146689565,True,False,1,3,7.190676034332207,155.0,0,3.3306026279499137,0.29360025505827575
should,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1316,1204,0.3320230243161097,1,should,0.010346118739265331,0.010346118739265331,True,False,1,6,7.183111701743281,156.0,0,3.1050102693784254,0.5610509001287941
search,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,1160,0.4263709601873541,1,search,0.10469405461050973,0.10469405461050973,True,False,2,6,7.156176637480615,157.0,0,3.328963878182554,0.05695158119709241
limit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,1031,0.1777302600472812,1,limit,-0.14394664552956316,0.14394664552956316,True,False,2,5,7.146772179452637,158.0,0,3.3159170717257944,-0.766863816413764
problem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,1170,0.0973616719242903,1,problem,-0.22431523365255407,0.22431523365255407,True,False,1,7,7.1459844677143876,159.0,0,2.5816806689099527,-0.5900219849487424
had,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1256,1154,0.282767436305733,1,had,-0.038909469271111385,0.038909469271111385,False,True,1,3,7.136483208590247,160.5,0,3.35850927358607,0.12218697822091153
why,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1256,1170,0.1247429936305735,1,why,-0.19693391194627086,0.19693391194627086,True,False,2,3,7.136483208590247,160.5,0,3.43592011711408,-1.2124306966855987
images,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,1087,0.3378874698795182,1,images,0.016210564302673813,0.016210564302673813,True,False,2,6,7.1276936993473985,162.0,0,3.435054156730017,0.09690311896230906
understand,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,1157,0.4160693744922834,1,understand,0.09439246891543901,0.09439246891543901,True,False,1,10,7.116394144093465,163.0,0,2.513810893460086,0.837368049339318
research,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,1070,0.5028865417376496,1,research,0.1812096361608052,0.1812096361608052,True,False,2,8,7.069023426578259,165.0,0,2.9603517044045207,0.18314331102993248
again,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1171,961,0.0028433817250214,1,again,-0.31883352385182295,0.31883352385182295,True,False,1,5,7.066466970136958,166.0,0,2.592994707168196,-1.2604368245432627
assistant,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1169,1044,0.4815709153122331,1,assistant,0.15989400973538875,0.15989400973538875,True,False,2,9,7.064759027791802,167.0,0,2.8758686534962,0.26989977535588394
go,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1168,1105,0.3647456335616438,1,go,0.04306872798479944,0.04306872798479944,True,False,3,2,7.063903961472068,168.0,0,4.176594043523121,-0.6848739045752692
never,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1162,1087,0.2161831325301204,1,never,-0.10549377304672397,0.10549377304672397,True,False,1,5,7.0587581525186645,169.0,0,2.977114361051901,-0.08552147129113073
apps,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,1057,0.4539169001751318,1,apps,0.13223999459828745,0.13223999459828745,True,False,1,4,7.04141166379481,170.0,0,3.091695774069976,0.3616652660552503
working,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1107,1028,0.2091573622402888,1,working,-0.11251954333655556,0.11251954333655556,True,False,3,7,7.010311867307229,171.0,0,3.4500067176236833,-0.8965046341588958
friend,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,1029,0.8342634963768105,1,friend,0.5125865907999662,0.5125865907999662,True,False,1,6,7.007600613951853,172.0,0,2.335061869746161,0.35334309310412443
people,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,998,0.3322746530989818,1,people,0.010597747522137435,0.010597747522137435,True,False,2,6,6.9865664594064265,174.0,0,3.3744791543903325,0.10711700676228379
back,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1078,1006,0.2106924860853432,1,back,-0.11098441949150117,0.11098441949150117,True,False,4,4,6.983789965258135,176.0,0,4.137334027411454,-1.5829501867260807
accurate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1078,1050,0.4862200371057517,1,accurate,0.16454313152890732,0.16454313152890732,True,False,1,8,6.983789965258135,176.0,0,2.5755108837497613,0.6598737010598973
same,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1078,972,0.1614171614100187,1,same,-0.16025974416682567,0.16025974416682567,True,False,2,4,6.983789965258135,176.0,0,3.3171454522857107,-0.9248001974319595
asked,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,975,0.059110242085661,1,asked,-0.26256666349118335,0.26256666349118335,True,False,1,5,6.980075940561763,178.0,0,2.6522981384399733,-0.9457893289221292
subscription,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,900,0.0593652542372881,1,subscription,-0.26231165133955625,0.26231165133955625,True,False,1,12,6.968850378341948,179.0,0,1.8704072693399663,-0.40304679452309133
learning,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,1026,0.655173674242424,1,learning,0.33349676866557965,0.33349676866557965,True,False,2,8,6.963189985870238,180.0,0,2.699735092467327,0.1232324015730094
fast,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1050,1025,0.5887284761904761,1,fast,0.2670515706136317,0.2670515706136317,True,False,4,4,6.957497370876951,181.0,0,3.961814680585032,-1.0860634431130611
user,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,948,0.341800958772771,1,user,0.02012405319592664,0.02012405319592664,True,False,1,4,6.950814768442584,182.0,0,3.1994578071699413,0.41532393804208145
recommend,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,1023,0.6342954764196351,1,recommend,0.31261857084279077,0.31261857084279077,True,False,1,9,6.946975992135418,183.5,0,2.243510422873147,0.6751765419738796
