word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,overarcing_theme
china,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0.0674193548387096,5,1,china,0.0021480044345898,0.6496462468470389,0.1333333333333333,"countries, cold, us, ussr, war"
global,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,-0.1089709677419355,6,1,global,0.0021480044345898,0.6496462468470389,0.1333333333333333,"countries, cold, us, ussr, war"
time,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,-0.2393172413793103,4,1,time,0.0020094235033259,0.6465873928647587,0.1333333333333333,"countries, cold, us, ussr, war"
confrontation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,-0.6382071428571428,13,1,confrontation,0.001940133037694,0.644951443477734,0.0666666666666666,"countries, cold, us, ussr, war"
such,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,28,26,-0.1578892857142857,4,1,such,0.001940133037694,0.644951443477734,0.1333333333333333,"countries, cold, us, ussr, war"
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,24,-0.1413,3,1,are,0.001940133037694,0.644951443477734,0.1333333333333333,"countries, cold, us, ussr, war"
policy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,0.1020428571428571,6,1,policy,0.001940133037694,0.644951443477734,0.0666666666666666,"countries, cold, us, ussr, war"
pattern,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,-0.4636555555555555,7,1,pattern,0.001870842572062,0.6432363202993117,0.1333333333333333,"countries, cold, us, ussr, war"
not,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,26,26,-0.1815923076923077,3,1,not,0.0018015521064301,0.6414349232056878,0.2666666666666666,"countries, cold, us, ussr, war"
but,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,25,25,-0.217528,3,1,but,0.0017322616407982,0.6395392040666789,0.2,"countries, cold, us, ussr, war"
been,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,19,-0.1270291666666666,4,1,been,0.0016629711751662,0.6375399955160673,0.1333333333333333,"countries, cold, us, ussr, war"
impact,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,-0.1717217391304348,6,1,impact,0.0015936807095343,0.6354268000766977,0.1333333333333333,"countries, cold, us, ussr, war"
cultural,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,19,-0.1322,8,1,cultural,0.0015936807095343,0.6354268000766977,0.0666666666666666,"countries, cold, us, ussr, war"
western,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,19,-0.0627869565217391,7,1,western,0.0015936807095343,0.6354268000766977,0.1333333333333333,"countries, cold, us, ussr, war"
national,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0.1828608695652173,8,1,national,0.0015936807095343,0.6354268000766977,0.1333333333333333,"countries, cold, us, ussr, war"
interests,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0.2580565217391304,9,1,interests,0.0015936807095343,0.6354268000766977,0.0666666666666666,"countries, cold, us, ussr, war"
major,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,20,-0.2945,5,1,major,0.0015936807095343,0.6354268000766977,0.2,"countries, cold, us, ussr, war"
security,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0.1281260869565217,8,1,security,0.0015936807095343,0.6354268000766977,0.0666666666666666,"countries, cold, us, ussr, war"
these,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22,22,0.0963454545454545,5,1,these,0.0015243902439024,0.6331875282688906,0.1333333333333333,"countries, cold, us, ussr, war"
led,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,17,-0.3577727272727273,3,1,led,0.0015243902439024,0.6331875282688906,0.2,"countries, cold, us, ussr, war"
arms,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,-0.2929772727272727,4,1,arms,0.0015243902439024,0.6331875282688906,0.1333333333333333,"countries, cold, us, ussr, war"
research,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0.0714363636363636,8,1,research,0.0015243902439024,0.6331875282688906,0.1333333333333333,"countries, cold, us, ussr, war"
nuclear,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,19,-0.3339545454545454,7,1,nuclear,0.0015243902439024,0.6331875282688906,0.0666666666666666,"countries, cold, us, ussr, war"
large,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,22,-0.07515,5,1,large,0.0015243902439024,0.6331875282688906,0.2,"countries, cold, us, ussr, war"
against,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,20,-0.2845714285714286,7,1,against,0.0014550997782705,0.6308081703830098,0.0666666666666666,"countries, cold, us, ussr, war"
cooperation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0.2715666666666667,11,1,cooperation,0.0014550997782705,0.6308081703830098,0.0666666666666666,"countries, cold, us, ussr, war"
end,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,-0.3342952380952381,3,1,end,0.0014550997782705,0.6308081703830098,0.1333333333333333,"countries, cold, us, ussr, war"
plan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,-0.115547619047619,4,1,plan,0.0014550997782705,0.6308081703830098,0.1333333333333333,"countries, cold, us, ussr, war"
technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,0.0114761904761904,10,1,technology,0.0014550997782705,0.6308081703830098,0.0666666666666666,"countries, cold, us, ussr, war"
more,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,19,-0.29989,4,1,more,0.0013858093126385,0.6282723810177272,0.2,"countries, cold, us, ussr, war"
afghanistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,-0.28941,11,1,afghanistan,0.0013858093126385,0.6282723810177272,0.0666666666666666,"countries, cold, us, ussr, war"
new,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,20,-0.19298,3,1,new,0.0013858093126385,0.6282723810177272,0.1333333333333333,"countries, cold, us, ussr, war"
asia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,-0.0846099999999999,4,1,asia,0.0013858093126385,0.6282723810177272,0.0666666666666666,"countries, cold, us, ussr, war"
missile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,-0.22275,7,1,missile,0.0013858093126385,0.6282723810177272,0.0666666666666666,"countries, cold, us, ussr, war"
issue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,-0.0530315789473684,5,1,issue,0.0013165188470066,0.6255609474815194,0.1333333333333333,"countries, cold, us, ussr, war"
ii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,-0.6337052631578948,2,0,ii,0.0013165188470066,0.6255609474815194,0.0,"countries, cold, us, ussr, war"
missiles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,-0.1866578947368421,8,1,missiles,0.0013165188470066,0.6255609474815194,0.0666666666666666,"countries, cold, us, ussr, war"
strategic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,18,-0.1375947368421052,9,1,strategic,0.0013165188470066,0.6255609474815194,0.0666666666666666,"countries, cold, us, ussr, war"
sides,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,-0.3034631578947368,5,1,sides,0.0013165188470066,0.6255609474815194,0.1333333333333333,"countries, cold, us, ussr, war"
foreign,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0.02025,7,1,foreign,0.0012472283813747,0.6226511014835566,0.1333333333333333,"countries, cold, us, ussr, war"
advances,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,-0.0064111111111111,8,1,advances,0.0012472283813747,0.6226511014835566,0.1333333333333333,"countries, cold, us, ussr, war"
certain,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,18,16,0.1306,7,1,certain,0.0012472283813747,0.6226511014835566,0.2,"countries, cold, us, ussr, war"
crisis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,-0.7299444444444443,6,1,crisis,0.0012472283813747,0.6226511014835566,0.0666666666666666,"countries, cold, us, ussr, war"
affairs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.2129529411764705,7,1,affairs,0.0011779379157427,0.6195156162140293,0.0666666666666666,"countries, cold, us, ussr, war"
vol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,3,1,vol,0.0011779379157427,0.6195156162140293,0.0666666666666666,"countries, cold, us, ussr, war"
warsaw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,-0.1462235294117647,6,1,warsaw,0.0011779379157427,0.6195156162140293,0.0666666666666666,"countries, cold, us, ussr, war"
nato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,-0.1493058823529411,4,1,nato,0.0011779379157427,0.6195156162140293,0.0,"countries, cold, us, ussr, war"
diplomatic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,16,0.1409470588235294,10,1,diplomatic,0.0011779379157427,0.6195156162140293,0.0666666666666666,"countries, cold, us, ussr, war"
many,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,17,-0.3183882352941177,4,1,many,0.0011779379157427,0.6195156162140293,0.2,"countries, cold, us, ussr, war"
economy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0824705882352941,7,1,economy,0.0011779379157427,0.6195156162140293,0.0666666666666666,"countries, cold, us, ussr, war"
berlin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,-0.2656352941176471,6,1,berlin,0.0011779379157427,0.6195156162140293,0.0666666666666666,"countries, cold, us, ussr, war"
each,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,17,16,0.0503823529411764,4,1,each,0.0011779379157427,0.6195156162140293,0.3333333333333333,"countries, cold, us, ussr, war"
one,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,17,17,-0.163035294117647,3,1,one,0.0011779379157427,0.6195156162140293,0.2666666666666666,"countries, cold, us, ussr, war"
century,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,-0.0840941176470588,7,1,century,0.0011779379157427,0.6195156162140293,0.0666666666666666,"countries, cold, us, ussr, war"
humanities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,10,1,humanities,0.0011779379157427,0.6195156162140293,0.0,"countries, cold, us, ussr, war"
strategy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,-0.310175,8,1,strategy,0.0011086474501108,0.6161216046825284,0.0666666666666666,"countries, cold, us, ussr, war"
or,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,13,-0.25235,2,1,or,0.0011086474501108,0.6161216046825284,0.0666666666666666,"countries, cold, us, ussr, war"
vietnam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,-0.44726875,7,1,vietnam,0.0011086474501108,0.6161216046825284,0.0666666666666666,"countries, cold, us, ussr, war"
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,14,0.27630625,4,1,they,0.0011086474501108,0.6161216046825284,0.0666666666666666,"countries, cold, us, ussr, war"
reform,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,-0.126025,6,1,reform,0.0011086474501108,0.6161216046825284,0.1333333333333333,"countries, cold, us, ussr, war"
both,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,16,15,-0.00758125,4,1,both,0.0011086474501108,0.6161216046825284,0.2,"countries, cold, us, ussr, war"
reagan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,-0.04145625,6,1,reagan,0.0011086474501108,0.6161216046825284,0.0666666666666666,"countries, cold, us, ussr, war"
made,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0.0764875,4,1,made,0.0011086474501108,0.6161216046825284,0.2,"countries, cold, us, ussr, war"
pact,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,-0.203525,4,1,pact,0.0011086474501108,0.6161216046825284,0.0666666666666666,"countries, cold, us, ussr, war"
there,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,14,-0.2747375,5,1,there,0.0011086474501108,0.6161216046825284,0.1333333333333333,"countries, cold, us, ussr, war"
out,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,15,15,-0.2782533333333333,3,1,out,0.0010393569844789,0.6124288945957818,0.2666666666666666,"countries, cold, us, ussr, war"
example,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,-0.3006066666666667,7,1,example,0.0010393569844789,0.6124288945957818,0.0666666666666666,"countries, cold, us, ussr, war"
east,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,13,-0.18906,4,1,east,0.0010393569844789,0.6124288945957818,0.2,"countries, cold, us, ussr, war"
th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,-0.0964933333333333,2,0,th,0.0010393569844789,0.6124288945957818,0.0,"countries, cold, us, ussr, war"
camp,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,10,-0.3430666666666667,4,1,camp,0.0010393569844789,0.6124288945957818,0.2,"countries, cold, us, ussr, war"
period,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,-0.0873733333333333,6,1,period,0.0010393569844789,0.6124288945957818,0.0666666666666666,"countries, cold, us, ussr, war"
state,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,15,-0.2777599999999999,5,1,state,0.0010393569844789,0.6124288945957818,0.2,"countries, cold, us, ussr, war"
early,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,14,-0.2703133333333333,5,1,early,0.0010393569844789,0.6124288945957818,0.2,"countries, cold, us, ussr, war"
carter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,-0.0032666666666666,6,1,carter,0.0010393569844789,0.6124288945957818,0.0666666666666666,"countries, cold, us, ussr, war"
through,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0.1314333333333333,7,1,through,0.0010393569844789,0.6124288945957818,0.2,"countries, cold, us, ussr, war"
influence,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,-0.00912,9,1,influence,0.0010393569844789,0.6124288945957818,0.1333333333333333,"countries, cold, us, ussr, war"
changes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,-0.1603642857142857,7,1,changes,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
long,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,14,-0.626992857142857,4,1,long,0.000970066518847,0.6083877907186052,0.2,"countries, cold, us, ussr, war"
nixon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0.1745,5,1,nixon,0.000970066518847,0.6083877907186052,0.0666666666666666,"countries, cold, us, ussr, war"
established,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,14,-0.2049285714285714,11,1,established,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
race,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,-0.3059428571428571,4,1,race,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
people,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.1280928571428572,6,1,people,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
country,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0.25325,7,1,country,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
order,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,-0.3030571428571428,5,1,order,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
role,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0.2408428571428571,4,1,role,0.000970066518847,0.6083877907186052,0.0666666666666666,"countries, cold, us, ussr, war"
control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0.0139642857142857,7,1,control,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
force,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,-0.0710571428571428,5,1,force,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
treaty,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,-0.2407071428571428,6,1,treaty,0.000970066518847,0.6083877907186052,0.0666666666666666,"countries, cold, us, ussr, war"
position,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,-0.0522571428571428,8,1,position,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
scale,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,-0.4633071428571429,5,1,scale,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
since,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,14,0.0048071428571428,5,1,since,0.000970066518847,0.6083877907186052,0.1333333333333333,"countries, cold, us, ussr, war"
situation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,-0.2269214285714286,9,1,situation,0.000970066518847,0.6083877907186052,0.0666666666666666,"countries, cold, us, ussr, war"
