word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,log_relative_frequency,participation_score
answered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,117,0.2973487394957982,8,0,answerer,8.737164078067662e-05,-1.6384460392160207,0.0
bhai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,85,0.2623035714285714,4,0,bai,8.223213249946035e-05,-1.6490748845630885,0.0
karne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,93,0.1419481818181818,5,0,karen,8.076370156196999e-05,-1.6522339295622168,0.0
pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,65,0.0028110091743119,2,0,pm,8.002948609322481e-05,-1.653835057165496,0.0
games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,105,0.457862037037037,5,0,gams,7.929527062447962e-05,-1.655450941913183,0.0
online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,103,0.4287114285714284,6,0,on-line,7.709262421824408e-05,-1.6603899235612158,0.0
smarter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,100,0.6287029411764706,7,0,smatter,7.488997781200853e-05,-1.6654720838648482,0.0
hu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,86,0.122951,2,0,hu,7.342154687451816e-05,-1.6689439251182918,0.0
ensures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,0.6379531250000001,7,0,ensurer,7.048468499953745e-05,-1.676100929211916,0.0
wanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,92,0.4308229166666666,5,0,anna,7.048468499953745e-05,-1.676100929211916,0.0
usefull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,87,0.3375184782608696,7,0,useful,6.754782312455672e-05,-1.6835625767428135,0.0
st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,82,0.2415000000000001,2,0,st,6.4610961249576e-05,-1.6913559599527006,0.0
cited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0.4931883720930232,5,0,citer,6.314253031208563e-05,-1.695386534107106,0.0
helpfull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,83,0.5090905882352941,8,0,helpful,6.240831484334045e-05,-1.6974371101617085,0.0
karna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,76,0.2620788235294117,5,0,kana,6.240831484334045e-05,-1.6974371101617085,0.0
acha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,73,0.2421072289156627,4,0,ach,6.093988390585008e-05,-1.7016116467608016,0.0
isko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,68,0.1975658536585366,4,0,iso,6.02056684371049e-05,-1.703736791011341,0.0
baat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,67,0.2800487804878049,4,0,bat,6.02056684371049e-05,-1.703736791011341,0.0
among,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,79,0.544434146341463,5,0,mong,6.02056684371049e-05,-1.703736791011341,0.0
requires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,0.1798395061728395,8,0,required,5.947145296835972e-05,-1.705888011301795,0.0
offline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,66,0.1850166666666667,7,0,off-line,5.726880656212417e-05,-1.7125047306718864,0.0
al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,75,0.4972220779220778,2,0,al,5.6534591093378994e-05,-1.714766984692485,0.0
hota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,63,0.0528216216216216,4,0,hot,5.4331944687143445e-05,-1.7217343486875345,0.0
karo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,62,0.2571875,4,0,kar,5.286351374965308e-05,-1.7265379986005271,0.0
sahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,61,0.0969402777777777,4,0,ahi,5.286351374965308e-05,-1.7265379986005271,0.0
mera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,64,0.1488098591549295,4,0,era,5.21292982809079e-05,-1.7289900980690616,0.0
lekin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,62,0.1064985915492957,5,0,levin,5.21292982809079e-05,-1.7289900980690616,0.0
we're,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,68,0.3337289855072464,5,0,were,5.066086734341754e-05,-1.7339996461314249,0.0
sakte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,47,0.4925691176470587,5,0,sate,4.9926651874672354e-05,-1.7365591405521923,0.0
sath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,37,-0.2016626865671641,4,0,sat,4.9192436405927176e-05,-1.7391565547858117,0.0
matters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,63,0.4790651515151516,7,0,mattes,4.845822093718199e-05,-1.7417930293413122,0.0
kiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,58,0.2372046153846154,4,0,kia,4.772400546843681e-05,-1.7444697569687464,0.0
meri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,58,0.2361078125,4,0,peri,4.698978999969163e-05,-1.7471879858992598,0.0
',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,51,-0.0623129032258064,1,0,',4.5521359062201264e-05,-1.752754239250549,0.0
upon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,60,0.397960655737705,4,0,jupon,4.4787143593456085e-05,-1.7556050704216235,0.0
bekar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,-0.069165,5,0,beka,4.40529281247109e-05,-1.7585030248973872,0.0
holi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,33,0.7314220338983051,4,0,holt,4.331871265596572e-05,-1.7614496867645009,0.0
atleast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,57,0.3364237288135594,7,0,at least,4.331871265596572e-05,-1.7614496867645009,0.0
jata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,53,0.1302694915254237,4,0,jat,4.331871265596572e-05,-1.7614496867645009,0.0
ux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,51,0.1644122807017544,2,0,ux,4.185028171847536e-05,-1.7674958808864547,0.0
precision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,54,0.5827909090909089,9,0,prevision,4.0381850780984994e-05,-1.773758055638172,0.0
diya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,51,0.2643745454545455,4,0,diva,4.0381850780984994e-05,-1.773758055638172,0.0
isse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,51,0.1856603773584905,4,0,sise,3.891341984349463e-05,-1.7802522148816102,0.0
kr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,46,0.2425584905660378,2,0,kr,3.891341984349463e-05,-1.7802522148816102,0.0
require,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0.2114603773584905,7,0,requite,3.891341984349463e-05,-1.7802522148816102,0.0
accha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,47,0.3062132075471698,5,0,accra,3.891341984349463e-05,-1.7802522148816102,0.0
itna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,41,0.1536615384615384,4,0,ita,3.8179204374749446e-05,-1.7835917873592306,0.0
jawab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,45,0.1080509803921568,5,0,jawan,3.744498890600427e-05,-1.7869962099408037,0.0
kaam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,0.139656,4,0,aam,3.671077343725908e-05,-1.7904680511942472,0.0
gmail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,0.231978,5,0,mail,3.671077343725908e-05,-1.7904680511942472,0.0
gotta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0.5400653061224489,5,0,rotta,3.5976557968513904e-05,-1.7940100353788275,0.0
gemini's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,0.3797978723404256,8,0,geminis,3.450812703102354e-05,-1.801316186443623,0.0
siri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,43,0.50611914893617,4,0,sir,3.450812703102354e-05,-1.801316186443623,0.0
abhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,42,0.0677744680851064,4,0,ahi,3.450812703102354e-05,-1.801316186443623,0.0
abilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,0.5504234042553191,9,0,habilities,3.450812703102354e-05,-1.801316186443623,0.0
google's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,0.3210361702127659,8,0,googles,3.450812703102354e-05,-1.801316186443623,0.0
kisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,42,0.2480673913043479,4,0,kish,3.377391156227836e-05,-1.805086702818769,0.0
ap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,0.2923826086956522,2,0,ap,3.377391156227836e-05,-1.805086702818769,0.0
chij,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,33,0.3759086956521739,4,0,chi,3.377391156227836e-05,-1.805086702818769,0.0
memories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,36,0.5044454545454544,8,0,memorizes,3.2305480624788e-05,-1.812880086028656,0.0
galat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,-0.0298568181818181,5,0,gala,3.2305480624788e-05,-1.812880086028656,0.0
baar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,31,-0.025715909090909,4,0,bar,3.2305480624788e-05,-1.812880086028656,0.0
discoveries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0.6098181818181817,11,0,discoverees,3.2305480624788e-05,-1.812880086028656,0.0
improves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0.7657636363636364,8,0,improvs,3.2305480624788e-05,-1.812880086028656,0.0
sabse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,39,0.2552285714285713,5,0,sable,3.0837049687297635e-05,-1.8210360800276555,0.0
freaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,-0.096947619047619,8,0,breaking,3.0837049687297635e-05,-1.8210360800276555,0.0
wifi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,39,-0.0108547619047619,4,0,wiki,3.0837049687297635e-05,-1.8210360800276555,0.0
trending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0.57505,8,0,rending,3.0837049687297635e-05,-1.8210360800276555,0.0
purchased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,0.1452142857142857,9,0,purchase,3.0837049687297635e-05,-1.8210360800276555,0.0
acche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,29,0.4126951219512194,5,0,ache,3.010283421855245e-05,-1.8252609170872964,0.0
offered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0.2128219512195122,7,0,offeree,3.010283421855245e-05,-1.8252609170872964,0.0
canceled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,-0.1219024390243902,8,0,canceler,3.010283421855245e-05,-1.8252609170872964,0.0
laga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,0.3567780487804877,4,0,lag,3.010283421855245e-05,-1.8252609170872964,0.0
app's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0.3847439024390243,5,0,apps,3.010283421855245e-05,-1.8252609170872964,0.0
user's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,0.1087224999999999,6,0,users,2.9368618749807268e-05,-1.8295900815847317,0.0
multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0.4346249999999999,5,0,muli,2.9368618749807268e-05,-1.8295900815847317,0.0
gimini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34,0.360285,6,0,gemini,2.9368618749807268e-05,-1.8295900815847317,0.0
lo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32,0.2315,2,0,lo,2.863440328106209e-05,-1.8340288567478416,0.0
remembering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0.3409538461538461,11,0,rememberring,2.863440328106209e-05,-1.8340288567478416,0.0
dumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32,-0.3952358974358975,6,0,umber,2.863440328106209e-05,-1.8340288567478416,0.0
encountered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0.2765615384615384,11,0,encounterer,2.863440328106209e-05,-1.8340288567478416,0.0
people's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0.1128157894736842,8,0,peoples,2.7900187812316904e-05,-1.838582937573799,0.0
gaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,0.1497657894736842,4,0,gaa,2.7900187812316904e-05,-1.838582937573799,0.0
fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,0.4712789473684211,2,0,fr,2.7900187812316904e-05,-1.838582937573799,0.0
bhut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,0.3811499999999999,4,0,but,2.7900187812316904e-05,-1.838582937573799,0.0
isme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,0.1556702702702703,4,0,ism,2.716597234357172e-05,-1.8432584747634897,0.0
jaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,0.2129027027027026,5,0,paise,2.716597234357172e-05,-1.8432584747634897,0.0
rahe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0.2479361111111111,4,0,rah,2.643175687482654e-05,-1.8480621246764823,0.0
iske,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0.2724249999999999,4,0,sike,2.643175687482654e-05,-1.8480621246764823,0.0
ia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0.4596111111111111,2,0,ia,2.643175687482654e-05,-1.8480621246764823,0.0
lagta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,0.287875,5,0,agta,2.643175687482654e-05,-1.8480621246764823,0.0
karke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,0.2923527777777778,5,0,yarke,2.643175687482654e-05,-1.8480621246764823,0.0
thoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,0.2449499999999999,5,0,toda,2.643175687482654e-05,-1.8480621246764823,0.0
bohot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,0.3009257142857143,5,0,boot,2.569754140608136e-05,-1.8530011063245155,0.0
playstore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,0.2193371428571428,9,0,plastome,2.569754140608136e-05,-1.8530011063245155,0.0
apne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,0.2289205882352941,4,0,ane,2.4963325937336177e-05,-1.8580832666281475,0.0
iska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,0.3802617647058823,4,0,sika,2.4963325937336177e-05,-1.8580832666281475,0.0
sooo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,0.47675,4,0,soon,2.4963325937336177e-05,-1.8580832666281475,0.0
accessibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0.2350441176470588,13,0,accessability,2.4963325937336177e-05,-1.8580832666281475,0.0
yo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,0.3037735294117646,2,0,yo,2.4963325937336177e-05,-1.8580832666281475,0.0
dena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,0.2939264705882353,4,0,den,2.4963325937336177e-05,-1.8580832666281475,0.0
personalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0.2400176470588235,15,0,personalisation,2.4963325937336177e-05,-1.8580832666281475,0.0
glitchy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0.3590382352941175,7,0,glitch,2.4963325937336177e-05,-1.8580832666281475,0.0
tu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0.1207,2,0,tu,2.4963325937336177e-05,-1.8580832666281475,0.0
pata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0.0369060606060606,4,0,pat,2.4229110468590995e-05,-1.863317155417268,0.0
hoti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0.2357515151515151,4,0,hot,2.4229110468590995e-05,-1.863317155417268,0.0
jaldi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,0.1478909090909091,5,0,jali,2.4229110468590995e-05,-1.863317155417268,0.0
entered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,0.0244121212121212,7,0,enterer,2.4229110468590995e-05,-1.863317155417268,0.0
pr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0.2394272727272727,2,0,pr,2.4229110468590995e-05,-1.863317155417268,0.0
ensuring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0.6876545454545457,8,0,ensuing,2.4229110468590995e-05,-1.863317155417268,0.0
replying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0.0714484848484848,8,0,replaying,2.4229110468590995e-05,-1.863317155417268,0.0
we'll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,0.3121484848484848,5,0,well,2.4229110468590995e-05,-1.863317155417268,0.0
analyse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0.294860606060606,7,0,analyze,2.4229110468590995e-05,-1.863317155417268,0.0
ji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,0.449040625,2,0,ji,2.3494894999845814e-05,-1.8687121119752157,0.0
acchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,0.297946875,5,0,cachi,2.3494894999845814e-05,-1.8687121119752157,0.0
ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,0.25550625,2,0,ta,2.3494894999845814e-05,-1.8687121119752157,0.0
claud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,0.307115625,5,0,laud,2.3494894999845814e-05,-1.8687121119752157,0.0
accomplish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0.6682419354838708,10,0,accomplice,2.2760679531100632e-05,-1.8742783653265045,0.0
ni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0.3176548387096774,2,0,ni,2.2760679531100632e-05,-1.8742783653265045,0.0
aisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0.2436193548387096,4,0,aia,2.2760679531100632e-05,-1.8742783653265045,0.0
thik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,0.1805,4,0,tik,2.2760679531100632e-05,-1.8742783653265045,0.0
laggy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,0.3272999999999998,5,0,leggy,2.2760679531100632e-05,-1.8742783653265045,0.0
censorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,0.0619096774193548,10,0,sensorchip,2.2760679531100632e-05,-1.8742783653265045,0.0
bana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0.2537096774193548,4,0,bna,2.2760679531100632e-05,-1.8742783653265045,0.0
discussed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0.3450533333333334,9,0,discusser,2.202646406235545e-05,-1.8800271509733424,0.0
ensure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0.6370066666666666,6,0,insure,2.202646406235545e-05,-1.8800271509733424,0.0
vo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,0.1436571428571428,2,0,vo,2.0558033124865086e-05,-1.8921231367149995,0.0
karte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,0.2209964285714286,5,0,kate,2.0558033124865086e-05,-1.8921231367149995,0.0
achi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,0.4130821428571429,4,0,ach,2.0558033124865086e-05,-1.8921231367149995,0.0
ty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,0.6976642857142856,2,0,ty,2.0558033124865086e-05,-1.8921231367149995,0.0
requiring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.4357892857142857,9,0,requiting,2.0558033124865086e-05,-1.8921231367149995,0.0
sirf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,0.0790407407407407,4,0,sir,1.9823817656119905e-05,-1.8984991940650944,0.0
sare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,0.299062962962963,4,0,sae,1.9823817656119905e-05,-1.8984991940650944,0.0
cheaper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0.2923481481481482,7,0,heaper,1.9823817656119905e-05,-1.8984991940650944,0.0
here's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0.4925222222222223,6,0,heres,1.9823817656119905e-05,-1.8984991940650944,0.0
le,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0.1879185185185186,2,0,le,1.9823817656119905e-05,-1.8984991940650944,0.0
wala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0.0274592592592592,4,0,ala,1.9823817656119905e-05,-1.8984991940650944,0.0
existence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0.1539923076923077,9,0,exitance,1.9089602187374723e-05,-1.905115913435186,0.0
gaming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,0.5232115384615382,6,0,gamin,1.9089602187374723e-05,-1.905115913435186,0.0
tarah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,0.2787,5,0,tara,1.9089602187374723e-05,-1.905115913435186,0.0
rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,-0.0022461538461538,2,0,rs,1.9089602187374723e-05,-1.905115913435186,0.0
baad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,0.0704846153846153,4,0,aad,1.9089602187374723e-05,-1.905115913435186,0.0
adhd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.4904,4,0,add,1.835538671862954e-05,-1.9119921772702029,0.0
