word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,log_relative_frequency,participation_score,open_class,closed_class,class_type,actual,predicted,actual_label,predicted_label
jumped,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5799,6,1,jumped,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
mitigate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4391,8,1,mitigate,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
fob,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.8402,3,1,fob,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
opting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1848666666666666,6,0,outing,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,unknown,unknown,open,unknown,open
tentative,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6752,9,1,tentative,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
wher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.2294,4,1,wher,1.4684309374903631e-06,-2.354808616279037,0.0,False,False,unknown,unknown,closed,unknown,closed
coated,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9705,6,1,coated,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
unlike,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,194,190,0.4386438144329899,6,1,unlike,0.0001424378009365,-1.5527599759547712,0.0666666666666666,True,False,open,open,both,open,both
mismanaged,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.0256,10,1,mismanaged,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
jb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0.1052294117647058,2,0,jb,1.2481662968668089e-05,-1.9796073927041031,0.0,False,False,unknown,unknown,closed,unknown,closed
sram,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,4,1,sram,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
cuff,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8442,4,1,cuff,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
require,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,0.2114603773584905,7,0,requite,3.891341984349463e-05,-1.7802522148816102,0.0,False,False,unknown,unknown,open,unknown,open
reform,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9457,6,1,reform,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
vba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.616925,3,1,vba,2.9368618749807267e-06,-2.233284490203081,0.0,False,False,unknown,unknown,closed,unknown,closed
pings,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.0807,5,1,pings,1.4684309374903631e-06,-2.354808616279037,0.1333333333333333,True,False,open,open,unknown,open,unknown
hese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.9412,4,1,hese,1.4684309374903631e-06,-2.354808616279037,0.0,False,False,unknown,unknown,closed,unknown,closed
jat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9447,3,1,jat,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
feds,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,-0.0436,4,1,feds,2.2026464062355453e-06,-2.283721559591693,0.1333333333333333,True,False,open,open,closed,open,closed
define,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.119875,6,1,define,5.873723749961453e-06,-2.111760364127126,0.1333333333333333,True,False,open,open,closed,open,closed
assistant,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1169,1044,0.4815709153122331,9,1,assistant,0.0008582978829631,-1.23787317752072,0.1333333333333333,True,False,open,open,both,open,both
wordplay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9183,8,1,wordplay,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
rupee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1851,5,1,rupee,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
usage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,327,0.1256772151898733,5,1,usage,0.0002900151101543,-1.4281010134159426,0.0666666666666666,True,False,open,open,both,open,both
jail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0754499999999999,4,1,jail,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,closed,open,closed
jumma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.9619,5,0,umma,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,unknown,unknown,open,unknown,open
favorite,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,255,250,0.7109043137254897,8,1,favorite,0.00018722494453,-1.504825927398409,0.1333333333333333,True,False,open,open,both,open,both
exel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.85465,4,1,exel,1.4684309374903631e-06,-2.354808616279037,0.0,False,False,unknown,unknown,closed,unknown,closed
guise,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.70485,5,1,guise,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,unknown,open,unknown
perseverance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5574,12,1,perseverance,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
bury,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.296,4,1,bury,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
geek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8588,4,1,geek,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
gree,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.09715,4,1,gree,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,closed,open,closed
phon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,4,1,phon,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,closed,open,closed
turn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,236,219,0.1196368644067795,4,1,turn,0.0001732748506238,-1.5184014346125905,0.1333333333333333,True,False,open,open,both,open,both
illustrate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.886,10,1,illustrate,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
milk,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.1068666666666666,4,1,milk,2.2026464062355453e-06,-2.283721559591693,0.2,True,False,open,open,closed,open,closed
unfavourable,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9042,12,1,unfavourable,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
done,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,615,596,0.3906086178861788,4,1,done,0.0004515425132782,-1.3504794517816023,0.1333333333333333,True,False,open,open,both,open,both
deem,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7902,4,1,deem,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
vein,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6449,4,1,vein,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
isnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,53,0.1273407407407407,4,1,isn't,3.964763531223981e-05,-1.7769750679891387,0.0,False,False,unknown,unknown,open,unknown,open
regiments,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.9702,9,1,regiments,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
efficacy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7783,8,1,efficacy,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
dynamite,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5849,8,1,dynamite,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
toes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.4594874999999999,4,1,toes,5.873723749961453e-06,-2.111760364127126,0.1333333333333333,True,False,open,open,closed,open,closed
cooper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.6808,6,1,cooper,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
derail,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.8979,6,1,derail,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
bean,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7613,4,1,bean,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
techies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8779,7,1,techies,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
neon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.4677166666666666,4,1,neon,4.405292812471091e-06,-2.162197433515738,0.0666666666666666,True,False,open,open,closed,open,closed
lt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0.53621875,2,0,lt,1.1747447499922908e-05,-1.990236238051171,0.0,False,False,unknown,unknown,closed,unknown,closed
sky,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0.3946166666666666,3,1,sky,8.810585624942181e-06,-2.0406733074397825,0.0666666666666666,True,False,open,open,closed,open,closed
unborn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.24945,6,1,unborn,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,unknown,open,unknown
binks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5719,5,1,binks,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
hawaii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,6,1,hawaii,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
monocotyledonous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9412,16,1,monocotyledonous,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
cladue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.5823333333333334,6,0,clade,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,unknown,unknown,open,unknown,open
thunder,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9354,7,1,thunder,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
inlaid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8313,6,1,inlaid,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
vetted,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9556,6,1,vetted,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
days,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,522,488,0.110876436781609,4,1,days,0.0003832604746849,-1.3792243558259596,0.1333333333333333,True,False,open,open,both,open,both
libs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.9248,4,1,libs,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
repeatable,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9808,10,1,repeatable,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
tbh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0.4456829787234043,3,1,tbh,3.450812703102354e-05,-1.801316186443623,0.0,False,False,unknown,unknown,closed,unknown,closed
arse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.44805,4,1,arse,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,closed,open,closed
mum,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.59055,3,1,mum,4.405292812471091e-06,-2.162197433515738,0.1333333333333333,True,False,open,open,closed,open,closed
joke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,77,0.23345,4,1,joke,6.314253031208563e-05,-1.695386534107106,0.1333333333333333,True,False,open,open,both,open,both
eta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.20095,3,1,eta,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,closed,open,closed
sculpted,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9184,8,1,sculpted,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
banal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.4811,5,1,banal,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
loud,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,41,39,0.213680487804878,4,1,loud,3.010283421855245e-05,-1.8252609170872964,0.1333333333333333,True,False,open,open,closed,open,closed
spaghetti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9514,9,1,spaghetti,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
'to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.1867,3,1,'to,1.4684309374903631e-06,-2.354808616279037,0.0,False,False,unknown,unknown,closed,unknown,closed
stitches,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2263,8,1,stitches,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
drilled,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.8926,7,1,drilled,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
beg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.5999571428571429,3,1,beg,5.139508281216272e-06,-2.13517138886691,0.1333333333333333,True,False,open,open,closed,open,closed
no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3126,2724,0.0647254318618042,2,1,no,0.0022951575552974,-1.0654252354963107,0.2,True,False,open,open,both,open,both
improvises,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.734,10,1,improvises,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
roots,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.4733,5,1,roots,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
sayin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.0858666666666666,5,0,ayin,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,unknown,unknown,open,unknown,open
anomaly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2732,7,1,anomaly,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
xc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,2,0,xc,7.342154687451817e-07,-2.4763327423549923,0.0,False,False,unknown,unknown,closed,unknown,closed
acoustics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8805,9,1,acoustics,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
kick,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0.5572375,4,1,kick,1.1747447499922908e-05,-1.990236238051171,0.1333333333333333,True,False,open,open,closed,open,closed
guild,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8979,5,1,guild,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
quantify,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.7588,8,1,quantify,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
bi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0.5512333333333334,2,1,bi,1.1013232031177723e-05,-2.0015512770492982,0.0666666666666666,True,False,open,open,closed,open,closed
stat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.70868,4,1,stat,3.671077343725909e-06,-2.1941624598125973,0.0666666666666666,True,False,open,open,closed,open,closed
mummy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.49305,5,1,mummy,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,unknown,open,unknown
stifled,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8901,7,1,stifled,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
recalled,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.8357,8,1,recalled,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
arc,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.83605,3,1,arc,1.4684309374903631e-06,-2.354808616279037,0.1333333333333333,True,False,open,open,closed,open,closed
baby,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,30,0.3554333333333332,4,1,baby,2.863440328106209e-05,-1.8340288567478416,0.1333333333333333,True,False,open,open,closed,open,closed
tourism,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6597,7,1,tourism,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
resuscitate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4019,11,1,resuscitate,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
remapping,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.8735,9,1,remapping,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
vega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5994,4,1,vega,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
kadam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1339666666666666,5,0,adam,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,unknown,unknown,open,unknown,open
mythic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1531,6,1,mythic,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
sell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,40,0.4029837209302326,4,1,sell,3.157126515604281e-05,-1.8169106601830611,0.1333333333333333,True,False,open,open,closed,open,closed
seasons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9545,7,1,seasons,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.6563888888888889,4,1,arts,6.607939218706635e-06,-2.0911103768283934,0.0,False,False,unknown,unknown,closed,unknown,closed
interviews,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5367,10,1,interviews,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
fraus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4754,5,1,fraus,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
experimented,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0772,12,1,experimented,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
patio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9584,5,1,patio,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
shovel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2408,6,1,shovel,1.4684309374903631e-06,-2.354808616279037,0.1333333333333333,True,False,open,open,unknown,open,unknown
polluting,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.6808,9,1,polluting,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
waaaay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.8739333333333335,6,1,waaaay,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,unknown,unknown,open,unknown,open
ai's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,163,0.4214291428571426,4,0,ais,0.0001284877070304,-1.5708308237821205,0.0,False,False,unknown,unknown,both,unknown,both
gurgle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9744,6,1,gurgle,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
hui,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4939,3,1,hui,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
bhavnaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,8,1,bhavnaon,1.4684309374903631e-06,-2.354808616279037,0.0,False,False,unknown,unknown,open,unknown,open
senora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5466,6,1,senora,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
actualized,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.4019,10,1,actualized,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
labs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.0382,4,1,labs,5.873723749961453e-06,-2.111760364127126,0.0666666666666666,True,False,open,open,closed,open,closed
dang,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.0373399999999999,4,1,dang,3.671077343725909e-06,-2.1941624598125973,0.1333333333333333,True,False,open,open,closed,open,closed
relearn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.75,7,1,relearn,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
