word,open_class,closed_class,noun,verb,adjective,adverb,auxiliary,conjunctions,determiners,prepositions,pronouns
simulator,True,False,1,0,0,0,0,0,0,0,0
scaffold,True,False,1,1,0,0,0,0,0,0,0
conan,False,False,0,0,0,0,0,0,0,0,0
bottleneck,True,False,1,1,0,0,0,0,0,0,0
arrogance,True,False,1,0,0,0,0,0,0,0,0
dabhoi,False,False,0,0,0,0,0,0,0,0,0
wher,False,False,0,0,0,0,0,0,0,0,0
misbehaves,True,False,0,1,0,0,0,0,0,0,0
dravo,False,False,0,0,0,0,0,0,0,0,0
sukh,False,False,0,0,0,0,0,0,0,0,0
pikachu,True,False,1,0,0,0,0,0,0,0,0
agra,True,False,1,0,0,0,0,0,0,0,0
verrrrrrrry,False,False,0,0,0,0,0,0,0,0,0
extraterritorial,True,False,0,0,1,0,0,0,0,0,0
crass,True,False,0,0,1,0,0,0,0,0,0
pretty,True,False,1,0,1,1,0,0,0,0,0
multltiple,False,False,0,0,0,0,0,0,0,0,0
oding,False,False,0,0,0,0,0,0,0,0,0
ou,True,False,1,0,0,0,0,0,0,0,0
anjin,False,False,0,0,0,0,0,0,0,0,0
catched,True,False,0,1,0,0,0,0,0,0,0
increasingly,True,False,0,0,0,1,0,0,0,0,0
unified,True,False,0,1,1,0,0,0,0,0,0
researches,True,False,0,1,0,0,0,0,0,0,0
naturlest,False,False,0,0,0,0,0,0,0,0,0
reenter,False,False,0,0,0,0,0,0,0,0,0
punjabi,True,False,1,0,1,0,0,0,0,0,0
carthen,False,False,0,0,0,0,0,0,0,0,0
beast,True,False,1,0,0,0,0,0,0,0,0
rooted,True,False,0,1,1,0,0,0,0,0,0
repayment,True,False,1,0,0,0,0,0,0,0,0
armored,True,False,0,0,1,0,0,0,0,0,0
beautiflcatlon,False,False,0,0,0,0,0,0,0,0,0
dijiye,False,False,0,0,0,0,0,0,0,0,0
expansion,True,False,1,0,0,0,0,0,0,0,0
clogging,True,False,0,1,1,0,0,0,0,0,0
installer,True,False,1,0,0,0,0,0,0,0,0
moon,True,False,1,1,0,0,0,0,0,0,0
pooja,False,False,0,0,0,0,0,0,0,0,0
'indian,False,False,0,0,0,0,0,0,0,0,0
accessory,True,False,1,0,1,0,0,0,0,0,0
interference,True,False,1,0,0,0,0,0,0,0,0
bee's,False,False,0,0,0,0,0,0,0,0,0
maximises,False,False,0,0,0,0,0,0,0,0,0
squats,True,False,1,1,0,0,0,0,0,0,0
paradoxical,True,False,0,0,1,0,0,0,0,0,0
myriad,True,False,1,0,1,0,0,0,0,0,0
prohibited,True,False,0,0,1,0,0,0,0,0,0
holocaust,True,False,1,0,0,0,0,0,0,0,0
debuted,False,False,0,0,0,0,0,0,0,0,0
helmet,True,False,1,0,0,0,0,0,0,0,0
rudimentary,True,False,0,0,1,0,0,0,0,0,0
pronto,True,False,0,0,0,1,0,0,0,0,0
tum,True,False,1,0,1,0,0,0,0,0,0
religions,True,False,1,0,0,0,0,0,0,0,0
murge,False,False,0,0,0,0,0,0,0,0,0
obnoxious,True,False,0,0,1,0,0,0,0,0,0
splendid,True,False,0,0,1,0,0,0,0,0,0
syncing,False,False,0,0,0,0,0,0,0,0,0
tude,False,False,0,0,0,0,0,0,0,0,0
thoroughness,True,False,1,0,0,0,0,0,0,0,0
interest,True,False,1,1,0,0,0,0,0,0,0
defence,True,False,1,0,0,0,0,0,0,0,0
disks,True,False,1,0,0,0,0,0,0,0,0
sevan,False,False,0,0,0,0,0,0,0,0,0
prithvi,False,False,0,0,0,0,0,0,0,0,0
ko,True,False,1,0,0,0,0,0,0,0,0
glued,True,False,0,1,1,0,0,0,0,0,0
jiminy,False,False,0,0,0,0,0,0,0,0,0
trivial,True,False,1,0,1,0,0,0,0,0,0
accepts,True,False,0,1,0,0,0,0,0,0,0
womanphobic,False,False,0,0,0,0,0,0,0,0,0
currencies,False,False,0,0,0,0,0,0,0,0,0
debt,True,False,1,0,0,0,0,0,0,0,0
probelms,False,False,0,0,0,0,0,0,0,0,0
cpa,False,False,0,0,0,0,0,0,0,0,0
swift's,False,False,0,0,0,0,0,0,0,0,0
maaikacin,False,False,0,0,0,0,0,0,0,0,0
encouragement,True,False,1,0,0,0,0,0,0,0,0
annyoing,False,False,0,0,0,0,0,0,0,0,0
overjoyed,True,False,0,1,1,0,0,0,0,0,0
gimic,False,False,0,0,0,0,0,0,0,0,0
jano,False,False,0,0,0,0,0,0,0,0,0
durga,True,False,1,0,0,0,0,0,0,0,0
which'll,False,False,0,0,0,0,0,0,0,0,0
buyers,True,False,1,0,0,0,0,0,0,0,0
mujhse,False,False,0,0,0,0,0,0,0,0,0
homelab,False,False,0,0,0,0,0,0,0,0,0
drained,True,False,0,1,1,0,0,0,0,0,0
dari,True,False,1,0,0,0,0,0,0,0,0
loge,True,False,1,0,0,0,0,0,0,0,0
kalakar,False,False,0,0,0,0,0,0,0,0,0
esne,True,False,1,0,0,0,0,0,0,0,0
winstar,False,False,0,0,0,0,0,0,0,0,0
midsentence,False,False,0,0,0,0,0,0,0,0,0
narrator,True,False,1,0,0,0,0,0,0,0,0
recorded,True,False,0,1,1,0,0,0,0,0,0
grandparents,True,False,1,0,0,0,0,0,0,0,0
prada,False,False,0,0,0,0,0,0,0,0,0
delabory,False,False,0,0,0,0,0,0,0,0,0
grokipedia,False,False,0,0,0,0,0,0,0,0,0
injoy,False,False,0,0,0,0,0,0,0,0,0
add,True,False,1,1,0,0,0,0,0,0,0
synchronization,True,False,1,0,0,0,0,0,0,0,0
sight,True,False,1,1,0,0,0,0,0,0,0
bataye,False,False,0,0,0,0,0,0,0,0,0
aren't,False,False,0,0,0,0,0,0,0,0,0
maple,True,False,1,0,0,0,0,0,0,0,0
cleared,True,False,0,1,1,0,0,0,0,0,0
ecosia,False,False,0,0,0,0,0,0,0,0,0
smartic,False,False,0,0,0,0,0,0,0,0,0
sehr,False,False,0,0,0,0,0,0,0,0,0
createabetterworld,False,False,0,0,0,0,0,0,0,0,0
zone,True,False,1,1,0,0,0,0,0,0,0
rahna,False,False,0,0,0,0,0,0,0,0,0
check',False,False,0,0,0,0,0,0,0,0,0
tmodel,False,False,0,0,0,0,0,0,0,0,0
outdoor,True,False,0,0,1,0,0,0,0,0,0
soldat,False,False,0,0,0,0,0,0,0,0,0
unko,False,False,0,0,0,0,0,0,0,0,0
walls,True,False,1,1,0,0,0,0,0,0,0
egos,True,False,1,0,0,0,0,0,0,0,0
fledged,True,False,0,1,1,0,0,0,0,0,0
summarized,True,False,0,1,0,0,0,0,0,0,0
kinship,True,False,1,0,0,0,0,0,0,0,0
flagging,True,False,1,1,1,0,0,0,0,0,0
document's,False,False,0,0,0,0,0,0,0,0,0
directs,True,False,0,1,0,0,0,0,0,0,0
aravind,False,False,0,0,0,0,0,0,0,0,0
consonants,True,False,1,0,0,0,0,0,0,0,0
captured,True,False,0,1,0,0,0,0,0,0,0
wield,True,False,0,1,0,0,0,0,0,0,0
haye,True,False,1,0,0,0,0,0,0,0,0
extemely,False,False,0,0,0,0,0,0,0,0,0
kiska,False,False,0,0,0,0,0,0,0,0,0
sensual,True,False,0,0,1,0,0,0,0,0,0
msst,False,False,0,0,0,0,0,0,0,0,0
themselves,False,True,0,0,0,0,0,0,0,0,1
nate,False,False,0,0,0,0,0,0,0,0,0
tony,True,False,1,0,1,0,0,0,0,0,0
vtt,False,False,0,0,0,0,0,0,0,0,0
shaim,False,False,0,0,0,0,0,0,0,0,0
gems,True,False,1,0,0,0,0,0,0,0,0
alwys,False,False,0,0,0,0,0,0,0,0,0
lumen,True,False,1,0,0,0,0,0,0,0,0
plan,True,False,1,1,0,0,0,0,0,0,0
