word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,log_relative_frequency,participation_score,open_class,closed_class,actual,predicted,actual_label,predicted_label
dar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,-0.35135,3,1,dar,2.9368618749807267e-06,-2.233284490203081,0.0666666666666666,True,False,0,1,not closed,closed
ohh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.4455714285714286,3,1,ohh,5.139508281216272e-06,-2.13517138886691,0.0,False,False,0,1,not closed,closed
boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,42,0.4637066666666666,3,1,boy,3.303969609353318e-05,-1.8089400942859988,0.0666666666666666,True,False,0,1,not closed,closed
knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,672,0.5966062411347518,9,1,knowledge,0.0005176219054653,-1.3265347211379284,0.0,False,False,0,1,not closed,closed
ham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,34,0.4176690476190475,3,1,ham,3.0837049687297635e-05,-1.8210360800276555,0.0666666666666666,True,False,0,1,not closed,closed
n,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,113,0.4034811594202894,1,1,n,0.0001013217346868,-1.6124755200554697,0.0666666666666666,True,False,0,1,not closed,closed
ki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,240,0.2090261764705881,2,1,ki,0.0002496332593733,-1.4543888580097974,0.0666666666666666,True,False,0,1,not closed,closed
enna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.3845,4,0,etna,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
little,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,578,551,0.5039276816609,6,1,little,0.0004243765409347,-1.3613579169772585,0.2,True,False,0,1,not closed,closed
rps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.4027333333333334,3,1,rps,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
teen,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0.4692333333333334,4,1,teen,8.810585624942181e-06,-2.0406733074397825,0.1333333333333333,True,False,0,1,not closed,closed
made,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,890,844,0.2915326966292138,4,1,made,0.0006534517671832,-1.2856804878376022,0.2,True,False,0,1,not closed,closed
mkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.5943999999999999,3,1,mkt,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
usage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,327,0.1256772151898733,5,1,usage,0.0002900151101543,-1.4281010134159426,0.0666666666666666,True,False,0,1,not closed,closed
face,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,324,254,0.3282910493827158,4,1,face,0.0002378858118734,-1.462839759149884,0.1333333333333333,True,False,0,1,not closed,closed
sci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.4203200000000001,3,1,sci,3.671077343725909e-06,-2.1941624598125973,0.0,False,False,0,1,not closed,closed
haha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.6688050000000001,4,0,aha,1.4684309374903634e-05,-1.9511142076606869,0.0,False,False,0,1,not closed,closed
d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,91,0.5230210526315787,1,1,d,8.370056343695072e-05,-1.6459717548104993,0.0666666666666666,True,False,0,1,not closed,closed
problems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,597,0.2793841346153847,8,1,problems,0.0004581504524969,-1.34793235244402,0.0666666666666666,True,False,0,1,not closed,closed
jaw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.7012666666666667,3,1,jaw,2.2026464062355453e-06,-2.283721559591693,0.0666666666666666,True,False,0,1,not closed,closed
pc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,124,0.4034433823529413,2,1,pc,9.985330374934472e-05,-1.6150350144762369,0.0666666666666666,True,False,0,1,not closed,closed
ist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5357,3,1,ist,3.671077343725909e-06,-2.1941624598125973,0.0,False,False,0,1,not closed,closed
document,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131,117,0.276287786259542,8,1,document,9.61822264056188e-05,-1.6216021587706304,0.1333333333333333,True,False,0,1,not closed,closed
cent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.0155333333333333,4,1,cent,4.405292812471091e-06,-2.162197433515738,0.0666666666666666,True,False,0,1,not closed,closed
paying,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,311,292,0.0374440514469453,6,1,paying,0.0002283410107797,-1.4700193112795543,0.1333333333333333,True,False,0,1,not closed,closed
foot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0.572875,4,1,foot,1.1747447499922908e-05,-1.990236238051171,0.1333333333333333,True,False,0,1,not closed,closed
xai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.4204142857142857,3,1,xai,5.139508281216272e-06,-2.13517138886691,0.0,False,False,0,1,not closed,closed
stuck,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,203,197,-0.1014581280788178,5,1,stuck,0.0001490457401552,-1.5448094939404315,0.2,True,False,0,1,not closed,closed
chad,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.46115,4,1,chad,5.873723749961453e-06,-2.111760364127126,0.1333333333333333,True,False,0,1,not closed,closed
gay,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5065799999999999,3,1,gay,3.671077343725909e-06,-2.1941624598125973,0.1333333333333333,True,False,0,1,not closed,closed
roof,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.3773999999999999,4,1,roof,2.9368618749807267e-06,-2.233284490203081,0.1333333333333333,True,False,0,1,not closed,closed
digs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.18455,4,1,digs,2.9368618749807267e-06,-2.233284490203081,0.1333333333333333,True,False,0,1,not closed,closed
ins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0126249999999999,3,1,ins,2.9368618749807267e-06,-2.233284490203081,0.0666666666666666,True,False,0,1,not closed,closed
shok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.8541666666666666,4,0,hok,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
jna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.4587999999999999,3,1,jna,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
lean,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.6759,4,1,lean,6.607939218706635e-06,-2.0911103768283934,0.1333333333333333,True,False,0,1,not closed,closed
chef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.76295,4,1,chef,2.9368618749807267e-06,-2.233284490203081,0.0666666666666666,True,False,0,1,not closed,closed
aims,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0.5233874999999999,4,1,aims,5.873723749961453e-06,-2.111760364127126,0.1333333333333333,True,False,0,1,not closed,closed
idea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,230,0.3958179166666665,4,1,idea,0.0001762117124988,-1.5154547727454764,0.0666666666666666,True,False,0,1,not closed,closed
pg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0.2432666666666666,2,1,pg,6.607939218706635e-06,-2.0911103768283934,0.0666666666666666,True,False,0,1,not closed,closed
much,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3358,3096,0.5281251935675985,4,1,much,0.0024654955440463,-1.0528736827373886,0.2,True,False,0,1,not closed,closed
mode,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,515,0.1939424496644294,4,1,mode,0.0004375924193721,-1.3559813447588691,0.0666666666666666,True,False,0,1,not closed,closed
gta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.3422666666666667,3,1,gta,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
cannot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,540,0.0146267796610169,6,1,cannot,0.0004331871265596,-1.3577552781461508,0.0666666666666666,True,False,0,1,not closed,closed
fe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.39638,2,1,fe,3.671077343725909e-06,-2.1941624598125973,0.0666666666666666,True,False,0,1,not closed,closed
jald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.4246,4,0,jad,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
bans,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.3329333333333333,4,1,bans,2.2026464062355453e-06,-2.283721559591693,0.1333333333333333,True,False,0,1,not closed,closed
ips,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.6284000000000001,3,1,ips,2.2026464062355453e-06,-2.283721559591693,0.0666666666666666,True,False,0,1,not closed,closed
haven't,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,245,0.4312599190283399,7,1,haven't,0.00018135122078,-1.5104143608059033,0.0,False,False,0,1,not closed,closed
clearly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,258,252,0.4372085271317827,7,1,clearly,0.0001894275909362,-1.5027753513438062,0.0666666666666666,True,False,0,1,not closed,closed
fer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0257333333333333,3,1,fer,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
meds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.23788,4,1,meds,3.671077343725909e-06,-2.1941624598125973,0.0666666666666666,True,False,0,1,not closed,closed
tee,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1997666666666666,3,1,tee,2.2026464062355453e-06,-2.283721559591693,0.1333333333333333,True,False,0,1,not closed,closed
especially,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,725,718,0.4813474482758625,10,1,especially,0.0005323062148402,-1.3216302823437245,0.0666666666666666,True,False,0,1,not closed,closed
piss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.5357999999999999,4,1,piss,3.671077343725909e-06,-2.1941624598125973,0.0,False,False,0,1,not closed,closed
bed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,0.5258090909090908,3,1,bed,1.6152740312394e-05,-1.9344042121046117,0.1333333333333333,True,False,0,1,not closed,closed
han,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.01706,3,1,han,3.671077343725909e-06,-2.1941624598125973,0.0666666666666666,True,False,0,1,not closed,closed
bar,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,145,111,0.1578593103448276,3,1,bar,0.000106461242968,-1.603800564886119,0.2,True,False,0,1,not closed,closed
reliable,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,519,516,0.4983572254335264,8,1,reliable,0.0003810578282787,-1.3802348615285105,0.1333333333333333,True,False,0,1,not closed,closed
g,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,130,0.2223440789473683,1,1,g,0.0001116007512492,-1.595534685421888,0.0666666666666666,True,False,0,1,not closed,closed
xbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.3115,4,0,box,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
vivo,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0.377875,4,1,vivo,2.9368618749807267e-06,-2.233284490203081,0.1333333333333333,True,False,0,1,not closed,closed
hind,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.6645,4,1,hind,5.873723749961453e-06,-2.111760364127126,0.1333333333333333,True,False,0,1,not closed,closed
starting,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,162,158,0.3612993827160493,8,1,starting,0.0001189429059367,-1.5843638852258397,0.1333333333333333,True,False,0,1,not closed,closed
tge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.4417428571428572,3,1,tge,5.139508281216272e-06,-2.13517138886691,0.0,False,False,0,1,not closed,closed
text,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,686,0.2058929171668667,4,1,text,0.0006116014854647,-1.2972846857279383,0.0666666666666666,True,False,0,1,not closed,closed
yaad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.255,4,0,yaa,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
nova,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.5641857142857143,4,1,nova,5.139508281216272e-06,-2.13517138886691,0.0666666666666666,True,False,0,1,not closed,closed
toes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.4594874999999999,4,1,toes,5.873723749961453e-06,-2.111760364127126,0.1333333333333333,True,False,0,1,not closed,closed
useless,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,649,590,-0.4286255778120186,7,1,useless,0.0004765058392156,-1.3410452825900756,0.0666666666666666,True,False,0,1,not closed,closed
bina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,-0.0567411764705882,4,0,bna,1.2481662968668089e-05,-1.9796073927041031,0.0,False,False,0,1,not closed,closed
ddj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.4019,3,1,ddj,3.671077343725909e-06,-2.1941624598125973,0.0,False,False,0,1,not closed,closed
atp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.509075,3,1,atp,2.9368618749807267e-06,-2.233284490203081,0.0,False,False,0,1,not closed,closed
iii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.2312333333333333,3,1,iii,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
buy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,203,186,0.1867906403940888,3,1,buy,0.0001490457401552,-1.5448094939404315,0.1333333333333333,True,False,0,1,not closed,closed
dry,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,13,0.3785692307692307,3,1,dry,9.54480109368736e-06,-2.026640039511141,0.2666666666666666,True,False,0,1,not closed,closed
change,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,620,565,0.2635246774193548,6,1,change,0.000455213590622,-1.3490598306321988,0.1333333333333333,True,False,0,1,not closed,closed
services,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,117,0.442272950819672,8,1,services,8.957428718691217e-05,-1.6340809443456683,0.1333333333333333,True,False,0,1,not closed,closed
wao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.8754,3,1,wao,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
sry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.1048666666666666,3,1,sry,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
pad,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.1989333333333333,3,1,pad,6.607939218706635e-06,-2.0911103768283934,0.1333333333333333,True,False,0,1,not closed,closed
it',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.3699749999999999,3,1,it',5.873723749961453e-06,-2.111760364127126,0.0,False,False,0,1,not closed,closed
bahut,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,263,0.3506876543209873,5,1,bahut,0.0002973572648417,-1.4237177287593998,0.0666666666666666,True,False,0,1,not closed,closed
jar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.029725,3,1,jar,2.9368618749807267e-06,-2.233284490203081,0.1333333333333333,True,False,0,1,not closed,closed
ad,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,143,118,0.075420979020979,2,1,ad,0.0001049928120305,-1.606235635336716,0.1333333333333333,True,False,0,1,not closed,closed
hope,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,486,0.6388504000000005,4,1,hope,0.0003671077343725,-1.386773642575897,0.1333333333333333,True,False,0,1,not closed,closed
anybody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,26,0.5469307692307693,7,1,anybody,1.9089602187374723e-05,-1.905115913435186,0.0666666666666666,False,True,1,0,closed,not closed
himself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,31,0.1057,7,1,himself,2.4963325937336177e-05,-1.8580832666281475,0.0666666666666666,False,True,1,0,closed,not closed
nobody,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,26,25,0.1767307692307693,6,1,nobody,1.9089602187374723e-05,-1.905115913435186,0.2,True,True,1,0,closed,not closed
whilst,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,8,0.4265,6,1,whilst,5.873723749961453e-06,-2.111760364127126,0.0666666666666666,False,True,1,0,closed,not closed
theirs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0.1063333333333333,6,1,theirs,6.607939218706635e-06,-2.0911103768283934,0.0666666666666666,False,True,1,0,closed,not closed
under,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,134,133,0.2219537313432835,5,1,under,9.838487281185437e-05,-1.617632428709856,0.2,True,True,1,0,closed,not closed
immediately,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,180,173,0.0704388888888889,11,1,immediately,0.0001321587843741,-1.565891842134088,0.1333333333333333,True,True,1,0,closed,not closed
against,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,163,153,0.0823503067484662,7,1,against,0.0001196771214054,-1.5832849756422915,0.0666666666666666,False,True,1,0,closed,not closed
herself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0.6783,7,1,herself,2.9368618749807267e-06,-2.233284490203081,0.0666666666666666,False,True,1,0,closed,not closed
zat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-0.1531,3,1,zat,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,False,True,1,0,closed,not closed
unless,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,152,0.0546194805194805,6,1,unless,0.0001130691821867,-1.593242858616529,0.0666666666666666,False,True,1,0,closed,not closed
cum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0.312,3,1,cum,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,False,True,1,0,closed,not closed
whose,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,20,0.319525,5,1,whose,1.4684309374903634e-05,-1.9511142076606869,0.1333333333333333,False,True,1,0,closed,not closed
whilest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.6717,7,1,whilest,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,False,True,1,0,closed,not closed
ourselves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,0.5986125,9,1,ourselves,5.873723749961453e-06,-2.111760364127126,0.1333333333333333,True,True,1,0,closed,not closed
except,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,105,103,0.440450476190476,6,1,except,7.709262421824408e-05,-1.6603899235612158,0.0666666666666666,False,True,1,0,closed,not closed
wherever,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,9,0.6679,8,1,wherever,6.607939218706635e-06,-2.0911103768283934,0.1333333333333333,True,True,1,0,closed,not closed
hyphen,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-0.1027,6,1,hyphen,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,True,1,0,closed,not closed
choose,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,142,137,0.4101014084507043,6,1,choose,0.0001042585965618,-1.607465971993106,0.2,True,True,1,0,closed,not closed
