word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,open_count,closed_count,word_length,vowel_count,class_type,is_short,has_apostrophe,is_alpha,unique_char_ratio,weighted_sentiment
these,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,36,36,0.0671305555555555,5,1,these,0.0010478824043079,0.6562743313773061,0.1333333333333333,0,2,5,2,ambiguous,False,False,True,0.8,0.134261111111111
speci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0.0098111111111111,5,0,spec,0.0010478824043079,0.6562743313773061,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.0196222222222222
liu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,0.0137861111111111,3,1,liu,0.0010478824043079,0.6562743313773061,0.0,0,0,3,2,ambiguous,True,False,True,1.0,0.0275722222222222
zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,-0.040635294117647,5,0,hang,0.0009896667151797,0.6537774330630485,0.0,0,0,5,1,ambiguous,False,False,True,1.0,-0.081270588235294
during,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,-0.4455735294117646,6,0,curing,0.0009896667151797,0.6537774330630485,0.0,0,0,6,2,ambiguous,False,False,True,1.0,-0.8911470588235292
ii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,-0.4142259259259259,2,0,ii,0.0007859118032309,0.6432363202993117,0.0,0,0,2,2,ambiguous,True,False,True,0.5,-0.8284518518518518
ciency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0.2395962962962962,6,1,ciency,0.0007859118032309,0.6432363202993117,0.0,0,0,6,2,ambiguous,False,False,True,0.8333333333333334,0.4791925925925924
than,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,25,0.2229038461538461,4,1,than,0.0007568039586668,0.6414349232056878,0.0666666666666666,0,1,4,1,ambiguous,True,False,True,1.0,0.4458076923076922
cient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0.397136,5,0,cent,0.0007276961141027,0.6395392040666789,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.794272
against,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,24,-0.2229919999999999,7,1,against,0.0007276961141027,0.6395392040666789,0.0666666666666666,0,1,7,3,ambiguous,False,False,True,0.8571428571428571,-0.4459839999999998
could,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,24,0.0121639999999999,5,1,could,0.0007276961141027,0.6395392040666789,0.0666666666666666,0,0,5,2,ambiguous,False,False,True,1.0,0.0243279999999998
sgrna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0.0552333333333333,5,0,srna,0.0006985882695386,0.6375399955160673,0.0,0,0,5,1,ambiguous,False,False,True,1.0,0.1104666666666666
ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,-0.0194999999999999,2,0,ed,0.0006694804249745,0.6354268000766977,0.0,0,0,2,1,ambiguous,True,False,True,1.0,-0.0389999999999998
usa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,-0.158415,3,1,usa,0.0005821568912822,0.6282723810177272,0.0,0,0,3,2,ambiguous,True,False,True,1.0,-0.31683
ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0.147905,3,1,ers,0.0005821568912822,0.6282723810177272,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.29581
org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0.0457210526315789,3,1,org,0.000553049046718,0.6255609474815194,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.0914421052631578
etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0.0688684210526315,3,1,etc,0.000553049046718,0.6255609474815194,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.137736842105263
sci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0.0150888888888888,3,1,sci,0.0005239412021539,0.6226511014835566,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.0301777777777776
humanities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,10,0,huminites,0.0004948333575898,0.6195156162140293,0.0,0,0,10,5,ambiguous,False,False,True,0.9,0.0
nato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,-0.1493058823529411,4,0,nat,0.0004948333575898,0.6195156162140293,0.0,0,0,4,2,ambiguous,True,False,True,1.0,-0.2986117647058822
biotechnol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,10,1,biotechnol,0.0004948333575898,0.6195156162140293,0.0,0,0,10,4,ambiguous,False,False,True,0.9,0.0
biol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,-0.04123125,4,0,bio,0.0004657255130257,0.6161216046825284,0.0,0,0,4,2,ambiguous,True,False,True,1.0,-0.0824625
would,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,13,-0.0361199999999999,5,1,would,0.0004366176684616,0.6124288945957818,0.0666666666666666,0,0,5,2,ambiguous,False,False,True,1.0,-0.0722399999999998
annu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0,4,0,ann,0.0004075098238975,0.6083877907186052,0.0,0,0,4,2,ambiguous,True,False,True,0.75,0.0
deng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.0,4,0,deg,0.0003784019793334,0.6039359308784116,0.0,0,0,4,1,ambiguous,True,False,True,1.0,0.0
sino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,-0.0725,4,0,sin,0.0003784019793334,0.6039359308784116,0.0,0,0,4,2,ambiguous,True,False,True,1.0,-0.145
ther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,-0.0262692307692307,4,0,her,0.0003784019793334,0.6039359308784116,0.0,0,0,4,1,ambiguous,True,False,True,1.0,-0.0525384615384614
proteins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,-0.0351666666666666,8,1,proteins,0.0003492941347693,0.5989937658314455,0.0,0,0,8,3,ambiguous,False,False,True,1.0,-0.0703333333333332
ussr's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,-0.3242416666666666,6,1,ussr's,0.0003492941347693,0.5989937658314455,0.0,0,0,6,1,ambiguous,False,True,False,0.6666666666666666,-0.6484833333333332
sgrnas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0.1300090909090909,6,0,srnas,0.0003201862902052,0.5934578873666095,0.0,0,0,6,1,ambiguous,False,False,True,0.8333333333333334,0.2600181818181818
jstor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0.1785363636363636,5,0,astor,0.0003201862902052,0.5934578873666095,0.0,0,0,5,1,ambiguous,False,False,True,1.0,0.3570727272727272
them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,0.1216181818181818,4,1,them,0.0003201862902052,0.5934578873666095,0.0666666666666666,0,1,4,1,ambiguous,True,False,True,1.0,0.2432363636363636
duchenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0094181818181818,8,1,duchenne,0.0003201862902052,0.5934578873666095,0.0,0,0,8,3,ambiguous,False,False,True,0.75,0.0188363636363636
tion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0.0161818181818181,4,0,ton,0.0003201862902052,0.5934578873666095,0.0,0,0,4,2,ambiguous,True,False,True,1.0,0.0323636363636362
kim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0.0,3,1,kim,0.0003201862902052,0.5934578873666095,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.0
spcas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.23571,5,0,spas,0.0002910784456411,0.5871908758202614,0.0,0,0,5,1,ambiguous,False,False,True,0.8,0.47142
strategies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,-0.21996,10,0,strategics,0.0002910784456411,0.5871908758202614,0.0,0,0,10,4,ambiguous,False,False,True,0.7,-0.43992
genomic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.05214,7,0,gnomic,0.0002910784456411,0.5871908758202614,0.0,0,0,7,3,ambiguous,False,False,True,1.0,0.10428
among,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.3833000000000001,5,0,mong,0.0002910784456411,0.5871908758202614,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.7666000000000002
sui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,3,1,sui,0.0002910784456411,0.5871908758202614,0.0,0,0,3,2,ambiguous,True,False,True,1.0,0.0
doi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.0,3,1,doi,0.0002619706010769,0.5800052903735844,0.0,0,0,3,2,ambiguous,True,False,True,1.0,0.0
ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,-0.0767555555555555,2,0,ja,0.0002619706010769,0.5800052903735844,0.0,0,0,2,1,ambiguous,True,False,True,1.0,-0.153511111111111
dsdna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.1531,5,0,dsrna,0.0002619706010769,0.5800052903735844,0.0,0,0,5,1,ambiguous,False,False,True,0.8,0.3062
ruvc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0.0470111111111111,4,1,ruvc,0.0002619706010769,0.5800052903735844,0.0,0,0,4,1,ambiguous,True,False,True,1.0,0.0940222222222222
targeted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.2171,8,0,targeter,0.0002619706010769,0.5800052903735844,0.0,0,0,8,3,ambiguous,False,False,True,0.75,0.4342
ve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.1034444444444444,2,0,ve,0.0002619706010769,0.5800052903735844,0.0,0,0,2,1,ambiguous,True,False,True,1.0,0.2068888888888888
multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,-0.1367777777777777,5,0,muli,0.0002619706010769,0.5800052903735844,0.0,0,0,5,2,ambiguous,False,False,True,1.0,-0.2735555555555554
dcas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,-0.075425,4,0,das,0.0002328627565128,0.571637330557974,0.0,0,0,4,1,ambiguous,True,False,True,1.0,-0.15085
doudna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.0,6,1,doudna,0.0002328627565128,0.571637330557974,0.0,0,0,6,3,ambiguous,False,False,True,0.8333333333333334,0.0
people's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.0274749999999999,8,0,peoples,0.0002328627565128,0.571637330557974,0.0,0,0,8,3,ambiguous,False,True,False,0.75,0.0549499999999998
itself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,0.2593375,6,1,itself,0.0002328627565128,0.571637330557974,0.0666666666666666,0,1,6,2,ambiguous,False,False,True,1.0,0.518675
huang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.1036,5,0,hung,0.0002328627565128,0.571637330557974,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.2072
improve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.5178250000000001,7,0,improv,0.0002328627565128,0.571637330557974,0.0,0,0,7,3,ambiguous,False,False,True,1.0,1.0356500000000002
vi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0.07655,2,0,vi,0.0002328627565128,0.571637330557974,0.0,0,0,2,1,ambiguous,True,False,True,1.0,0.1531
differences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1083714285714285,11,1,differences,0.0002037549119487,0.5617012295157272,0.0,0,0,11,4,ambiguous,False,False,True,0.7272727272727273,0.216742857142857
talen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0.0,5,0,tale,0.0002037549119487,0.5617012295157272,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.0
contradictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.7316428571428572,14,1,contradictions,0.0002037549119487,0.5617012295157272,0.0,0,0,14,5,ambiguous,False,False,True,0.6428571428571429,-1.4632857142857143
jiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,5,0,qiang,0.0002037549119487,0.5617012295157272,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.0
gilford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.0929,7,1,gilford,0.0002037549119487,0.5617012295157272,0.0,0,0,7,2,ambiguous,False,False,True,1.0,-0.1858
emphasizes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.0276857142857142,10,0,emphasizer,0.0002037549119487,0.5617012295157272,0.0,0,0,10,4,ambiguous,False,False,True,0.8,-0.0553714285714284
shen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,4,0,sen,0.0002037549119487,0.5617012295157272,0.0,0,0,4,1,ambiguous,True,False,True,1.0,0.0
lu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0050142857142857,2,0,lu,0.0002037549119487,0.5617012295157272,0.0,0,0,2,1,ambiguous,True,False,True,1.0,0.0100285714285714
gootenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,10,0,gutenberg,0.0002037549119487,0.5617012295157272,0.0,0,0,10,4,ambiguous,False,False,True,0.7,0.0
delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0370142857142857,9,0,deliverer,0.0002037549119487,0.5617012295157272,0.0,0,0,9,4,ambiguous,False,False,True,0.6666666666666666,0.0740285714285714
pluripotent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1856285714285714,11,0,plenipotent,0.0002037549119487,0.5617012295157272,0.0,0,0,11,4,ambiguous,False,False,True,0.8181818181818182,0.3712571428571428
clin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.1920428571428571,4,0,lin,0.0002037549119487,0.5617012295157272,0.0,0,0,4,1,ambiguous,True,False,True,1.0,-0.3840857142857142
gorbachev's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0332571428571428,11,1,gorbachev's,0.0002037549119487,0.5617012295157272,0.0,0,0,11,3,ambiguous,False,True,False,1.0,0.0665142857142856
ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,2,0,ac,0.0001746470673846,0.5496051325127768,0.0,0,0,2,1,ambiguous,True,False,True,1.0,0.0
brosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0602,6,0,broses,0.0001746470673846,0.5496051325127768,0.0,0,0,6,2,ambiguous,False,False,True,0.8333333333333334,0.1204
leber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.0356833333333333,5,0,leer,0.0001746470673846,0.5496051325127768,0.0,0,0,5,2,ambiguous,False,False,True,0.8,-0.0713666666666666
sangamo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,7,1,sangamo,0.0001746470673846,0.5496051325127768,0.0,0,0,7,3,ambiguous,False,False,True,0.8571428571428571,0.0
curr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,4,0,cur,0.0001746470673846,0.5496051325127768,0.0,0,0,4,1,ambiguous,True,False,True,0.75,0.0
ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.0530333333333333,2,0,ca,0.0001746470673846,0.5496051325127768,0.0,0,0,2,1,ambiguous,True,False,True,1.0,-0.1060666666666666
per,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.2946,3,1,per,0.0001746470673846,0.5496051325127768,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.5892
lim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0276499999999999,3,1,lim,0.0001746470673846,0.5496051325127768,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.0552999999999998
pii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,3,1,pii,0.0001746470673846,0.5496051325127768,0.0,0,0,3,2,ambiguous,True,False,True,0.6666666666666666,0.0
nucl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,4,0,nuc,0.0001746470673846,0.5496051325127768,0.0,0,0,4,1,ambiguous,True,False,True,1.0,0.0
ect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.1123666666666666,3,1,ect,0.0001746470673846,0.5496051325127768,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.2247333333333332
identi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.1209666666666666,6,0,ident,0.0001746470673846,0.5496051325127768,0.0,0,0,6,3,ambiguous,False,False,True,0.8333333333333334,-0.2419333333333332
feng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,4,0,eng,0.0001746470673846,0.5496051325127768,0.0,0,0,4,1,ambiguous,True,False,True,1.0,0.0
com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.1160499999999999,3,1,com,0.0001746470673846,0.5496051325127768,0.0,0,0,3,1,ambiguous,True,False,True,1.0,-0.2320999999999998
abudayyeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,9,1,abudayyeh,0.0001746470673846,0.5496051325127768,0.0,0,0,9,4,ambiguous,False,False,True,0.7777777777777778,0.0
nhej,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.08074,4,1,nhej,0.0001455392228205,0.5343829898349378,0.0,0,0,4,1,ambiguous,True,False,True,1.0,0.16148
hegemonism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,-0.24192,10,0,hegemonist,0.0001455392228205,0.5343829898349378,0.0,0,0,10,4,ambiguous,False,False,True,0.8,-0.48384
microbiol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,9,0,microbial,0.0001455392228205,0.5343829898349378,0.0,0,0,9,4,ambiguous,False,False,True,0.7777777777777778,0.0
ix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.0218999999999999,2,0,ix,0.0001455392228205,0.5343829898349378,0.0,0,0,2,1,ambiguous,True,False,True,1.0,-0.0437999999999998
dystrophin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.1183999999999999,10,0,dystrophic,0.0001455392228205,0.5343829898349378,0.0,0,0,10,2,ambiguous,False,False,True,1.0,0.2367999999999998
vitro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.07846,5,1,vitro,0.0001455392228205,0.5343829898349378,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.15692
until,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,-0.40708,5,1,until,0.0001455392228205,0.5343829898349378,0.0666666666666666,0,1,5,2,ambiguous,False,False,True,1.0,-0.81416
pigmentosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.06364,10,1,pigmentosa,0.0001455392228205,0.5343829898349378,0.0,0,0,10,4,ambiguous,False,False,True,1.0,-0.12728
cpsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,-0.14734,4,0,cpu,0.0001455392228205,0.5343829898349378,0.0,0,0,4,1,ambiguous,True,False,True,1.0,-0.29468
erent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,-0.3923199999999999,5,0,rent,0.0001455392228205,0.5343829898349378,0.0,0,0,5,2,ambiguous,False,False,True,0.8,-0.7846399999999998
yao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,3,1,yao,0.0001455392228205,0.5343829898349378,0.0,0,0,3,2,ambiguous,True,False,True,1.0,0.0
