word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,open_count,closed_count,word_length,vowel_count,class_type,is_short,has_apostrophe,is_alpha,unique_char_ratio,weighted_sentiment,actual,predicted,actual_label,predicted_label,prob_closed,prob_open,prob_ambiguous,final_prediction,certainty,final_actual
copy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,209,177,0.1630913875598087,4,1,copy,0.0001534510329677,0.7161880460633878,0.1333333333333333,2,0,4,1,open,True,False,True,1.0,0.3261827751196174,open,open,open,open,0.3313835806552722,0.3720139397406643,0.29660247960406444,open,0.3720139397406643,open
tier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,150,0.4718687116564418,4,1,tier,0.0001196771214054,0.709299783140892,0.0666666666666666,1,0,4,2,open,True,False,True,1.0,0.9437374233128836,open,open,open,open,0.27965492822184246,0.37752768439569273,0.34281738738246614,open,0.37752768439569273,open
took,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171,165,0.173151461988304,4,1,took,0.0001255508451554,0.7106595770106401,0.0666666666666666,1,0,4,2,open,True,False,True,0.75,0.346302923976608,open,open,open,open,0.2508080965371903,0.3848788142098937,0.3643130892529164,open,0.3848788142098937,open
offer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,121,0.2951031496062991,5,1,offer,9.324536453063808e-05,0.7019519630583334,0.1333333333333333,2,0,5,2,open,False,False,True,0.8,0.5902062992125982,open,open,open,open,0.24644889798056321,0.3869609120580166,0.3665901899614212,open,0.3869609120580166,open
ultra,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,125,122,0.2922335999999998,5,1,ultra,9.177693359314772e-05,0.7014689038958516,0.1333333333333333,2,0,5,2,open,False,False,True,1.0,0.5844671999999996,open,open,open,open,0.22918446431095799,0.3886220559468095,0.3821934797422336,open,0.3886220559468095,open
case,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,107,0.4118027272727274,4,1,case,8.076370156196999e-05,0.6975063903803305,0.1333333333333333,2,0,4,2,open,True,False,True,1.0,0.8236054545454548,open,open,open,open,0.2329456247876816,0.3919724067120454,0.37508196850027375,open,0.3919724067120454,open
shows,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,325,309,0.1438584615384615,5,1,shows,0.0002386200273421,0.7274847049437145,0.1333333333333333,2,0,5,1,open,False,False,True,0.8,0.287716923076923,open,closed,open,closed,0.3926438655365075,0.3459823009816194,0.2613738334818745,closed,0.3926438655365075,open
fan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,87,0.4334636363636362,3,1,fan,6.4610961249576e-05,0.6902649379933511,0.1333333333333333,2,0,3,1,open,True,False,True,1.0,0.8669272727272724,open,ambiguous,open,ambiguous,0.2933411350293852,0.3095687145213932,0.39709015044922175,open,0.39709015044922175,open
latest,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,177,172,0.1924870056497174,6,1,latest,0.0001299561379678,0.7116286024196924,0.2,3,0,6,2,open,False,False,True,0.8333333333333334,0.3849740112994348,open,closed,open,closed,0.40037007808815445,0.34527945311759356,0.25435046879425227,closed,0.40037007808815445,open
output,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163,153,0.3229840490797545,6,1,output,0.0001196771214054,0.709299783140892,0.1333333333333333,2,0,6,3,open,False,False,True,0.6666666666666666,0.645968098159509,open,closed,open,closed,0.40282770746179675,0.34477546553825467,0.25239682699994886,closed,0.40282770746179675,open
default,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,114,0.2872756097560976,7,1,default,9.030850265565736e-05,0.7009760537519804,0.1333333333333333,2,0,7,3,open,False,False,True,1.0,0.5745512195121952,open,open,open,open,0.31928995426553114,0.4063725693695358,0.27433747636493266,open,0.4063725693695358,open
black,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,80,0.3654009259259259,5,1,black,7.929527062447962e-05,0.696926818099908,0.1333333333333333,2,0,5,1,open,False,False,True,1.0,0.7308018518518518,open,open,open,open,0.22095954862296266,0.40776190627340425,0.37127854510363406,open,0.40776190627340425,open
oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,116,0.2417563025210083,2,1,oh,8.737164078067662e-05,0.6999594881495779,0.0666666666666666,1,0,2,1,open,True,False,True,1.0,0.4835126050420166,open,closed,open,closed,0.4083919211498878,0.1840839192315516,0.4075241596185608,closed,0.4083919211498878,open
replies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,141,0.3255616438356166,7,1,replies,0.0001071954584367,0.7061128824048067,0.0666666666666666,1,0,7,3,open,False,False,True,0.8571428571428571,0.6511232876712332,open,open,open,open,0.3131962854798683,0.4115143016534605,0.27528941286667075,open,0.4115143016534605,open
above,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,110,109,0.4260963636363636,5,1,above,8.076370156196999e-05,0.6975063903803305,0.2,3,0,5,3,open,False,False,True,1.0,0.8521927272727272,open,open,open,open,0.21535028391687458,0.4126156718752483,0.3720340442078782,open,0.4126156718752483,open
plans,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,103,0.4369559633027524,5,1,plans,8.002948609322481e-05,0.6972182788426685,0.1333333333333333,2,0,5,1,open,False,False,True,1.0,0.8739119266055048,open,open,open,open,0.21775159889919488,0.41275877232878516,0.36948962877202096,open,0.41275877232878516,open
music,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,96,0.4363043859649124,5,1,music,8.370056343695072e-05,0.6986267022996402,0.0666666666666666,1,0,5,2,open,False,False,True,1.0,0.8726087719298248,open,open,open,open,0.21589194681229273,0.4135471706575102,0.37056088253019814,open,0.4135471706575102,open
stopped,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,185,180,-0.037767027027027,7,1,stopped,0.0001358298617178,0.712859069831018,0.1333333333333333,2,0,7,2,open,False,False,True,0.8571428571428571,-0.075534054054054,open,open,open,open,0.34873406949567876,0.4138437089195711,0.23742222158475054,open,0.4138437089195711,open
currently,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,175,174,0.4075222857142857,9,1,currently,0.0001284877070304,0.7113101812857874,0.0666666666666666,1,0,9,2,open,False,False,True,0.8888888888888888,0.8150445714285715,open,open,open,open,0.3367401594390376,0.41423285164098705,0.24902698891997527,open,0.41423285164098705,open
large,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111,105,0.399717117117117,5,1,large,8.149791703071517e-05,0.6977912221253336,0.2,3,0,5,2,open,False,False,True,1.0,0.799434234234234,open,open,open,open,0.22142836085617812,0.4144353410847833,0.3641362980590397,open,0.4144353410847833,open
id,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,89,0.3811250000000001,2,1,id,6.754782312455672e-05,0.6917418571940166,0.0666666666666666,1,0,2,1,open,True,False,True,1.0,0.7622500000000002,open,closed,open,closed,0.41443803668634244,0.23000919039263976,0.3555527729210182,closed,0.41443803668634244,open
pic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,105,0.0516887096774193,3,1,pic,9.104271812440251e-05,0.7012237252368343,0.0666666666666666,1,0,3,1,open,True,False,True,1.0,0.1033774193548386,open,closed,open,closed,0.4150709838498065,0.2603097454399504,0.32461927071024377,closed,0.4150709838498065,open
life,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,1290,0.5934251608291623,4,1,life,0.0010271674407745,0.7582165948216503,0.0666666666666666,1,0,4,2,open,True,False,True,1.0,1.1868503216583246,open,open,open,open,0.4071439945394105,0.41531976651218944,0.17753623894840068,open,0.41531976651218944,open
correctly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200,196,0.1191535,9,1,correctly,0.000146843093749,0.7149977972429479,0.0666666666666666,1,0,9,2,open,False,False,True,0.7777777777777778,0.238307,open,closed,open,closed,0.41588059597262167,0.36666196089479963,0.21745744313257945,closed,0.41588059597262167,open
well,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1693,1621,0.560815121086827,4,1,well,0.0012430267885855,0.7616421349082191,0.2666666666666666,4,0,4,1,open,True,False,True,0.75,1.121630242173654,open,open,open,open,0.4061316067430263,0.41596114824711256,0.17790724500986174,open,0.41596114824711256,open
health,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,122,0.3533036496350365,6,1,health,0.000100587519218,0.7042320139723478,0.0666666666666666,1,0,6,2,open,False,False,True,0.8333333333333334,0.706607299270073,open,open,open,open,0.2905552887291459,0.4168244592562136,0.2926202520146402,open,0.4168244592562136,open
talks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,118,0.3921382113821139,5,1,talks,9.030850265565736e-05,0.7009760537519804,0.1333333333333333,2,0,5,1,open,False,False,True,1.0,0.7842764227642278,open,open,open,open,0.22184585886503622,0.4169881304518738,0.36116601068309107,open,0.4169881304518738,open
adds,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,139,0.4276346666666666,4,1,adds,0.0001101323203117,0.7069029428079567,0.1333333333333333,2,0,4,1,open,True,False,True,0.75,0.8552693333333332,open,open,open,open,0.21266518957809924,0.41905565726453337,0.36827915315736814,open,0.41905565726453337,open
koi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,136,0.2223311258278147,3,1,koi,0.0001108665357805,0.7070963596462714,0.0666666666666666,1,0,3,2,open,True,False,True,1.0,0.4446622516556294,open,closed,open,closed,0.41931031545060743,0.22477398302524326,0.35591570152414953,closed,0.41931031545060743,open
usually,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,156,155,0.4192589743589742,7,1,usually,0.0001145376131242,0.7080400611660581,0.0666666666666666,1,0,7,3,open,False,False,True,0.7142857142857143,0.8385179487179484,open,open,open,open,0.3228690923208708,0.4208865471543056,0.25624436052482313,open,0.4208865471543056,open
seeing,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,107,105,0.3588467289719626,6,1,seeing,7.856105515573444e-05,0.6966319365965035,0.1333333333333333,2,0,6,3,open,False,False,True,0.8333333333333334,0.7176934579439253,open,open,open,open,0.2871605643825737,0.4212584233635929,0.29158101225383276,open,0.4212584233635929,open
power,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,162,152,0.2493827160493827,5,1,power,0.0001189429059367,0.7091239853193507,0.2,3,0,5,2,open,False,False,True,1.0,0.4987654320987654,open,open,open,open,0.18227412260217798,0.4233141986238791,0.39441167877394356,open,0.4233141986238791,open
unlimited,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,171,156,0.4576298245614034,9,1,unlimited,0.0001255508451554,0.7106595770106401,0.0666666666666666,1,0,9,4,open,False,False,True,0.8888888888888888,0.9152596491228068,open,open,open,open,0.31936452977091523,0.42462729458550236,0.25600817564358236,open,0.42462729458550236,open
cut,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,146,138,-0.0189232876712328,3,1,cut,0.0001071954584367,0.7061128824048067,0.2,3,0,3,1,open,True,False,True,1.0,-0.0378465753424656,open,closed,open,closed,0.4248089299435192,0.2721657464573237,0.30302532359915774,closed,0.4248089299435192,open
dark,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84,75,0.3802833333333333,4,1,dark,6.167409937459527e-05,0.6887002699067727,0.1333333333333333,2,0,4,1,open,True,False,True,1.0,0.7605666666666666,open,open,open,open,0.14990623108169682,0.42552159336897144,0.42457217554933285,open,0.42552159336897144,open
added,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,148,142,0.2651641891891891,5,1,added,0.0001086638893742,0.7065112416387991,0.1333333333333333,2,0,5,2,open,False,False,True,0.6,0.5303283783783782,open,open,open,open,0.1806080139534672,0.427436136637309,0.39195584940922434,open,0.427436136637309,open
direct,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,135,131,0.3645607407407407,6,1,direct,9.911908828059952e-05,0.7037930116945237,0.2,3,0,6,2,open,False,False,True,1.0,0.7291214814814814,open,open,open,open,0.28773781934023185,0.4280610890454085,0.28420109161435925,open,0.4280610890454085,open
world,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,680,642,0.5222138235294118,5,1,world,0.0004992665187467,0.7441290016903946,0.1333333333333333,2,0,5,1,open,False,False,True,1.0,1.0444276470588236,open,open,open,open,0.4088938465490834,0.4281582213459265,0.16294793210499112,open,0.4281582213459265,open
tho,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,101,97,0.3468841584158416,3,1,tho,7.415576234326336e-05,0.694786511508806,0.2,2,1,3,1,closed,True,False,True,1.0,0.6937683168316832,closed,closed,closed,closed,0.4281845548721064,0.23614251332095199,0.33567293180694224,closed,0.4281845548721064,closed
number,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,674,515,0.0698572700296735,6,1,number,0.0004948612259342,0.743943654808952,0.1333333333333333,2,0,6,2,open,False,False,True,1.0,0.139714540059347,open,closed,open,closed,0.4291480220263875,0.4003761740983538,0.1704758038752595,closed,0.4291480220263875,open
student,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,356,0.5979686170212767,7,1,student,0.0002760650162481,0.7309778372073253,0.0666666666666666,1,0,7,2,open,False,False,True,0.8571428571428571,1.1959372340425534,open,open,open,open,0.42821694138784466,0.4292696319035133,0.1425134267086432,open,0.4292696319035133,open
click,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,122,0.1693440944881889,5,1,click,9.324536453063808e-05,0.7019519630583334,0.1333333333333333,2,0,5,1,open,False,False,True,0.8,0.3386881889763778,open,open,open,open,0.15789477548699699,0.43000008148029917,0.41210514303270446,open,0.43000008148029917,open
expected,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,132,131,0.2474893939393941,8,1,expected,9.691644187436398e-05,0.7031190226451435,0.1333333333333333,2,0,8,3,open,False,False,True,0.75,0.4949787878787882,open,open,open,open,0.2813083503223631,0.43024445673896744,0.288447192938669,open,0.43024445673896744,open
india,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,99,0.4473392857142856,5,1,india,8.223213249946035e-05,0.6980728414300967,0.0666666666666666,1,0,5,3,open,False,False,True,0.8,0.8946785714285712,open,open,open,open,0.1979585505803801,0.43088242332722576,0.3711590260923954,open,0.43088242332722576,open
means,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145,143,0.3857317241379308,5,1,means,0.000106461242968,0.7059111408421231,0.1333333333333333,2,0,5,2,open,False,False,True,1.0,0.7714634482758616,open,open,open,open,0.22148192867324767,0.4309370241955876,0.3475810471311658,open,0.4309370241955876,open
computer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,132,0.405836170212766,8,1,computer,0.000103524381093,0.7050864548547857,0.0666666666666666,1,0,8,3,open,False,False,True,1.0,0.811672340425532,open,open,open,open,0.31829357848721557,0.43142342792603,0.2502829935867537,open,0.43142342792603,open
karne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,93,0.1419481818181818,5,0,karen,8.076370156196999e-05,0.6975063903803305,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.2838963636363636,ambiguous,open,ambiguous,open,0.1509720176720232,0.43225893825177014,0.41676904407620696,open,0.43225893825177014,open
banana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,137,0.0556081967213114,6,1,banana,0.0001343614307803,0.7125577202086669,0.0666666666666666,1,0,6,3,open,False,False,True,0.5,0.1112163934426228,open,open,open,open,0.3173137809358354,0.43240640142743025,0.25027981763673485,open,0.43240640142743025,open
free,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2576,2282,0.5736873059006197,4,1,free,0.0018913390474875,0.7687962829091184,0.2666666666666666,4,0,4,2,open,True,False,True,0.75,1.1473746118012393,open,closed,open,closed,0.4325149610459886,0.3982968632827489,0.16918817567126326,closed,0.4325149610459886,open
purpose,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,140,134,0.3779371428571428,7,1,purpose,0.0001027901656243,0.7048757098245103,0.1333333333333333,2,0,7,3,open,False,False,True,0.8571428571428571,0.7558742857142856,open,open,open,open,0.30355819274690016,0.4325562208074972,0.26388558644560206,open,0.4325562208074972,open
least,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,296,291,0.2561445945945945,5,1,least,0.0002173277787485,0.7251857458794871,0.2,3,0,5,2,open,False,False,True,1.0,0.512289189189189,open,closed,open,closed,0.43337815747574676,0.34147792192818216,0.2251439205960726,closed,0.43337815747574676,open
clear,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,708,688,0.5408916666666669,5,1,clear,0.0005198245518715,0.7449688205366778,0.2666666666666666,4,0,5,2,open,False,False,True,1.0,1.0817833333333338,open,open,open,open,0.4028812490114289,0.43457597032403567,0.1625427806645364,open,0.43457597032403567,open
wouldn't,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,158,0.2049856249999999,8,1,wouldn't,0.0001174744749992,0.7087683061191127,0.0,0,0,8,2,ambiguous,False,True,False,1.0,0.4099712499999998,ambiguous,open,ambiguous,open,0.28563273446204285,0.4350911801232099,0.27927608541474674,open,0.4350911801232099,open
wow,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,291,265,0.7851230240549825,3,1,wow,0.0002136567014048,0.7247615730406372,0.1333333333333333,2,0,3,1,open,True,False,True,0.6666666666666666,1.570246048109965,open,open,open,open,0.3695614931016943,0.43542805490893527,0.19501045198937061,open,0.43542805490893527,open
quickly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,340,338,0.5268502941176472,7,1,quickly,0.0002496332593733,0.7285777869300112,0.0666666666666666,1,0,7,2,open,False,False,True,1.0,1.0537005882352943,open,closed,open,closed,0.43562486485894825,0.42248608276308747,0.14188905237796554,closed,0.43562486485894825,open
focus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119,112,0.4421512605042015,5,1,focus,8.737164078067662e-05,0.6999594881495779,0.1333333333333333,2,0,5,2,open,False,False,True,1.0,0.884302521008403,open,open,open,open,0.1967994992582789,0.4359773026143701,0.36722319812735243,open,0.4359773026143701,open
key,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,107,101,0.4009177570093455,3,1,key,7.856105515573444e-05,0.6966319365965035,0.2,3,0,3,1,open,True,False,True,1.0,0.801835514018691,open,closed,open,closed,0.4364195485745313,0.23999680155830788,0.32358364986716104,closed,0.4364195485745313,open
opinion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,263,0.5473594202898546,7,1,opinion,0.0002026434693736,0.7234335820810239,0.0666666666666666,1,0,7,4,open,False,False,True,0.5714285714285714,1.0947188405797093,open,open,open,open,0.41661985399998364,0.4370279707960348,0.14635217520398267,open,0.4370279707960348,open
verify,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,105,0.2107622641509435,6,1,verify,7.782683968698926e-05,0.6963335605465436,0.0666666666666666,1,0,6,2,open,False,False,True,1.0,0.421524528301887,open,open,open,open,0.2504720588558231,0.43742612917999857,0.31210181196417786,open,0.43742612917999857,open
feel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,898,849,0.5531902004454345,4,1,feel,0.0006593254909331,0.749785786046747,0.1333333333333333,2,0,4,2,open,True,False,True,0.75,1.106380400890869,open,open,open,open,0.3861890015875391,0.4375258783543092,0.17628512005815256,open,0.4375258783543092,open
function,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170,156,0.2237488235294118,8,1,function,0.0001248166296866,0.7104939698582374,0.1333333333333333,2,0,8,3,open,False,False,True,0.875,0.4474976470588236,open,closed,open,closed,0.43775332325333466,0.3331578172950919,0.2290888594515733,closed,0.43775332325333466,open
really,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3836,3355,0.5633261991657965,6,1,really,0.0028164505381065,0.7751410027277236,0.0666666666666666,1,0,6,2,open,False,False,True,0.8333333333333334,1.126652398331593,open,closed,open,closed,0.4381004934918847,0.4091279040377857,0.1527716024703304,closed,0.4381004934918847,open
indian,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105,91,0.4785942857142857,6,1,indian,7.709262421824408e-05,0.6960316138420678,0.1333333333333333,2,0,6,3,open,False,False,True,0.6666666666666666,0.9571885714285714,open,open,open,open,0.2582008802884154,0.4387600140832399,0.3030391056283445,open,0.4387600140832399,open
reached,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163,156,0.0503325153374233,7,1,reached,0.0001196771214054,0.709299783140892,0.0666666666666666,1,0,7,3,open,False,False,True,0.8571428571428571,0.1006650306748466,open,open,open,open,0.3081085939066042,0.43986118450513395,0.25203022158826205,open,0.43986118450513395,open
relevant,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,112,0.4277224137931033,8,1,relevant,8.516899437444107e-05,0.6991684735241713,0.0666666666666666,1,0,8,3,open,False,False,True,0.875,0.8554448275862065,open,open,open,open,0.30098786433611807,0.440326126958275,0.25868600870560593,open,0.440326126958275,open
otherwise,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,247,246,0.428371659919028,9,1,otherwise,0.00018135122078,0.7205960711159803,0.1333333333333333,2,0,9,4,open,False,False,True,0.8888888888888888,0.856743319838056,open,closed,open,closed,0.4407863124724102,0.39939072907555173,0.15982295845203906,closed,0.4407863124724102,open
complex,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,356,345,0.578557584269663,7,1,complex,0.0002613807068732,0.7296808555578372,0.1333333333333333,2,0,7,2,open,False,False,True,1.0,1.157115168539326,open,closed,open,closed,0.4414169266198642,0.40856282672065813,0.15002024665947888,closed,0.4414169266198642,open
hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,118,0.1532147435897436,5,1,hindi,0.0001145376131242,0.7080400611660581,0.0666666666666666,1,0,5,2,open,False,False,True,0.8,0.3064294871794872,open,open,open,open,0.1550827134667917,0.44167534880108,0.40324193773212885,open,0.44167534880108,open
serious,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,160,152,0.1161081249999999,7,1,serious,0.0001174744749992,0.7087683061191127,0.0666666666666666,1,0,7,4,open,False,False,True,0.8571428571428571,0.2322162499999998,open,open,open,open,0.2720074204579287,0.44181710898600557,0.2861754705560654,open,0.44181710898600557,open
daily,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,730,703,0.5395365753424657,5,1,daily,0.0005359772921839,0.7456013044006021,0.2,3,0,5,2,open,False,False,True,1.0,1.0790731506849314,open,open,open,open,0.3941853933700711,0.44189111352854915,0.1639234931013808,open,0.44189111352854915,open
others,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,574,0.5449755972696256,6,1,others,0.0004302502646846,0.7409742670299914,0.0666666666666666,1,0,6,2,open,False,False,True,1.0,1.0899511945392513,open,closed,open,closed,0.4428823317886078,0.42791798392422786,0.12919968428716508,closed,0.4428823317886078,open
logic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,89,0.2045197916666667,5,1,logic,7.048468499953745e-05,0.69313957366851,0.0666666666666666,1,0,5,2,open,False,False,True,1.0,0.4090395833333334,open,ambiguous,open,ambiguous,0.11728274522697843,0.43968663856344864,0.44303061620957324,open,0.44303061620957324,open
called,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119,119,0.1836285714285714,6,1,called,8.737164078067662e-05,0.6999594881495779,0.1333333333333333,2,0,6,2,open,False,False,True,0.8333333333333334,0.3672571428571428,open,open,open,open,0.237619491751403,0.4432422756079136,0.31913823264068325,open,0.4432422756079136,open
compare,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0.3953454545454543,7,1,compare,8.076370156196999e-05,0.6975063903803305,0.0666666666666666,1,0,7,3,open,False,False,True,1.0,0.7906909090909086,open,open,open,open,0.279465639047199,0.4433651413785829,0.2771692195742173,open,0.4433651413785829,open
it'll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,93,0.2238175257731958,5,1,it'll,7.121890046828263e-05,0.693477516218902,0.0,0,0,5,1,ambiguous,False,True,False,0.8,0.4476350515463916,ambiguous,ambiguous,ambiguous,ambiguous,0.11728274522697843,0.43890827536361826,0.4438089794094035,open,0.4438089794094035,open
